stage,blastomeres,epidermis,erythrocytes,eye,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord
  5-6,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.91,3.79,0,0,0,0,36.34,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,21.03,0,12.09,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.84
 24-34,0,0,0,0.77,0,0,0,1.13,0.75,3.95,0,0,0,1.8
 36-46,0,0,0,0,0,0,0,2.01,0,9.38,0.63,0,1.09,2.23
 48-58,0,0,0,3.46,0,0,0,3.36,0,38.86,0,0,0,4.68
 60-70,0,0,0,4.63,0,0,0,3.65,0,45.82,0,0,0,2.49
 72-82,0,0,0,2.72,0,1.72,0,4.22,0,23.34,0,0,0,0
 84-94,0,0,0,10.26,0,0,0,0.7,0.75,9.07,0,0,0,0
 96-106,0,0,0,1.93,0,0,1.32,1.21,0,12.95,0,0,0,0
108-118,0,0.89,1.66,2.71,0,0,0,0.75,0,17.49,0,0,0,0
120,0,0,0,3.04,0,0,0,9.46,0,71.07,0,0,0,0
