stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0
  5-6,27.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.62,0,0,3.31,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0,0,6.84,0,0,0,0,0
 14-21,0,0,6.28,0,0,0,0,1.45,0,0,2,0,0,1.02,0,0,1.46,0,0,20.39,1.29,0.88,1.44,0,0
 24-34,0,0.81,1.78,0,0,0,0,0,0,0,0,0.96,0,1.9,1.61,0,10.56,0.68,0,97.11,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,5.07,0,1.95,1.37,0.56,4.65,1.4,1.74,103.94,0,0,1.12,0,0.8
 48-58,0,0,6.79,0,0.64,0,0.64,0.44,5.77,0,0,1.92,0,5.66,1.32,0,5.22,0,2.77,106.68,0,0,3.35,0,0
 60-70,0,0,12.07,0,0.79,5.27,0,0,0,0,0,2.15,0,13.16,0.73,0,4.09,0.83,2.92,119.33,0,0,0,0,0
 72-82,0,0,11.56,0.56,2.82,0,0,0,0,0,0,4.17,0,10.74,0,0,8.13,0,1.36,88.61,0,0,0,0,1.18
 84-94,0,0,35.79,0,4.84,2.72,0,2.79,0,0,1.93,3.16,8.57,7.6,1.39,2.73,9.76,7.99,3.19,236.31,0,0,0,0,0
 96-106,0,0,39,0,11.18,3.09,1.55,0.74,0,0.67,1.26,0.75,0,9.48,0,0,2.21,8.03,11.24,196.97,0,0,0,0.69,0
108-118,0,0,37.31,0.48,0.55,4.49,1.28,0.88,0,0,1.56,3,0,2.8,1.69,0,4.86,2.28,16.46,125.61,0,0,0,0,0
120,0,0,35.16,0,4.38,6.61,0,0,0,0,0,0,0,1.08,0,0,4.95,5.92,7.14,89.36,0,0,0,0,0
