stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord
 14-21,4.79,0,0,0,0,0,0,0,0,9.92,0,0,0
 24-34,1.38,0,0,0,0,0,0,0.66,0.97,0,0,0.89,0
 36-46,0.82,0,0,0,2.25,0,0,1.7,0.73,0,5.53,0,1.02
 48-58,0.54,3.46,1.77,0.44,0,0,0,0.38,0,2.54,3.57,0.38,0
 60-70,5.34,0,0,0,0,0,0,1.76,0.6,0.87,11.4,0,0
 72-82,1.61,0,0.79,0,0,0,0,7.56,0,1.4,4.11,0.76,2.98
 84-94,9.81,1.02,2.4,0,0,0,0,0.96,0,0,5.6,0,0
 96-106,8.2,0,0,0,0,0.99,0,0,0,2.1,17.17,0,0
108-118,11.16,0.59,1.6,0,0,0,0.46,0,0,3.72,3.57,0,0
120,15.16,0,0,0,0,0,1.08,0,0,0,0,0,0
