stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,110.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.06,0,0,8.47,0,0,29.82,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,89.73,6.68,0,0,48.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.39,1.17,0,0,0,0,0,0,1.34,0,0,0,0,0,0,4.74,0,0,2.76,107.21,0,0,2.22,0,0,0,0,0.86,0,2.09,0,36.08,0,0,0,0,0
 24-34,0,0,0,0.7,3.16,0,2.33,2.27,1.18,0,1.02,0,0,1.01,0,0,0,0.65,0,18.66,0,0,6.41,131.97,0,1.22,5.14,0,0,0,0,0,0,0,5.73,53.36,0,0,0,0,0
 36-46,0,0,0,0,6,0,3.84,14.09,0.68,0.61,0,0,0,0,0,0,0,0,0,15.47,0,0,0.83,187.51,0,0,8.24,0,0,18.61,0,0,0,27.53,0,156.37,0,0,0,0,1.47
 48-58,0,0,0,0,4.58,0,17.86,13.23,8.67,0,11.2,0,0,0,0,0,0.69,0,0,2.7,0,0,3.34,195.86,0.42,1.25,9.11,0,0,3.05,0,0,0,32.54,0,93.71,0,0,0,0,3.9
 60-70,0,0,0,0,14.39,0,112.58,1.42,0,1.79,2.37,0,0,0,0,0.85,0.7,0,2.79,2.11,2.44,0,2.27,264.09,0,0,24.51,0,0,0,0,0,0,14.97,0,49.44,0.71,1.31,0,0,0
 72-82,0,0,0,0,18.8,0,145.04,4.89,1.19,0,3.83,0,0,2.83,0,0,0,0,0,4.48,0,0,3.62,268.53,0,1.51,23.19,0,0,0,1.65,0,0,1.45,0,53.12,2.12,1.84,0,1.76,0
 84-94,0,0,4.44,0,39.84,0,148.35,9.8,0,0,10.88,0.9,0,0,0,2.32,0.9,0,0,3.55,0,3.53,3.95,154.97,0,0.66,33.84,0,0,0,0,0,1.35,4.75,0,22.49,0,1.87,2.28,9.03,0
 96-106,0,0,0,0,19.02,0.92,70.14,20.18,0.61,0,15.67,0,0,0,1.68,0,0,0,0,8.51,1.96,1.76,2.03,164.94,0.75,4.66,29.16,0,1.17,3.54,20.92,0,0,4.98,0,23.25,0,3.2,0,8.4,0
108-118,0,0,0,0,8.47,2.74,137.22,10.64,0,0,5.46,0.44,0,0,0,0,2.53,0,0,4.46,0,7.14,7.11,248.27,0,1.49,57.65,0,5.31,1.17,0,0,1.88,4.71,0,13.34,1.91,1.34,3.11,4.29,0
120,0,0,0,0,27.95,0,152.65,24.95,0,0,4.28,0,0,3.83,0,0,2.88,0,0,12.39,0,0,0,451.01,0,10.4,90.11,0,0,0,0,0,0,0,0,11.59,2.74,0,0,13.36,0
