stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  5-6,0,83.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0
  7-9,16.7,5.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.13,0,4.82,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.8,182.19,0.85,0,0,0,1.66,1.99,0.91,0,0,0,0,0,2.03,26.19,0,0,0,1.25,1.05,4.7,4.65,0
 24-34,0,0,0,2.35,265.86,2.37,0,0,1.55,3.91,11.48,0.7,0,0,0,2.87,0,0.69,46.19,0.98,0,0,0,0.74,12.25,2.36,0
 36-46,0,0,0,0,25.66,2.02,0,0,0,0,39.85,0,0,0,3.54,0,0,0,32.93,1.87,0,0.69,0,0,8.17,16.07,0
 48-58,0,0,0,0,45.87,3.78,0,2.94,1.28,0,25.34,0,0,0,0,1.93,0,0,16.9,0,0,0,0,0,4.57,6.47,0
 60-70,0,0,0,0,54.82,3.7,0,0,1.03,0,49.34,0,0,0,0,13.22,0,0.6,20.86,0,0,0,0,0,2.61,14.07,0
 72-82,0,0,0,0,94.8,6.65,0,0,0,0.79,50.71,0.53,1.42,0,0,21.29,0,0,11.32,1.39,0,0,0,0,3.54,23.41,0
 84-94,0,0,0,0,109.36,0.58,0,0,0.75,0,107.32,0,0.55,0,0,11.06,0,0,12.61,0,0,0,0,0,0,9.38,0
 96-106,0,0,0,0,163.32,5.58,0,0,0,0.6,111.73,0,0,0.63,0,13.17,8.04,2.02,7.07,0,0,2.62,0,0,0,26.26,11.11
108-118,0,0,0,0.61,122.11,4.29,0.56,0,0.81,0,153.35,0,0,0,0,8.6,0,0,11.7,0,0,2.78,0,0,0,19.67,0
120,0,0,0,7.46,193.7,2.28,0,0,0,0,188.61,0,3.5,0,0,2.89,0,0,22.78,0,0,0,0,0,0,11.75,0
