stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0,0,0,0,0,0,0,0,0
 14-21,0,4.55,0,0,0,0,0,0,0.83,0,0,1.13,0,0,0,0.92,0,0,0,0,0,5.72,0.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.65,8.86,0,0.65,0,1.42,11.97,0,0,0,0,0,0,0,2.52,0
 36-46,0,0,10.47,0,0,0,0,0,0,0,0,22.42,0,1.76,0,7.91,0,0,0.62,0,0,0,0,0,4.19,0
 48-58,0,0,0,0,0.75,0.39,0.82,0,0,0,0,0.53,0,6.08,0,3.12,2.34,0,0,0,0,0,0,0,4.79,0
 60-70,0,0,0,0,0,0,1.06,0,0,0,0,0,0,10.33,1.19,0.61,15.4,0,0.72,0,0,0,0,0.98,2.97,0
 72-82,0.71,0,0,0,0.93,0.5,2.34,0,0,0,2.22,0,0,16.66,0,1.83,6.48,0,0.91,0,0,0,1.63,0.52,9.31,0
 84-94,0,0.68,0,0,8.5,0.58,4.78,0,0,0.98,0.66,0,0,16.93,2.99,1.28,1.68,0.76,2.25,0,0,0,0,0,10.87,1.31
 96-106,0.81,0,0,0,1.48,3.43,8.57,0,0,0,0,0,0,32.2,0,1.84,5.39,0,0.93,0,0,0,0,0,8.28,6.06
108-118,3.67,1.06,0,2.55,0.69,2.5,21.92,2.65,0,0,2.18,1.97,0.48,13.63,0,3.94,7.63,4.93,0,0,0.76,0,0,0,15.52,0
120,0,0,0,0,1.83,1.22,11.68,0,0,0,1.5,0,2.98,30.82,2.4,0,46.52,0,0,0,0,0,0,0,11.33,10.35
