stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.52,0,0,0,0,0,0,0,0,0,0
  5-6,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.15,0,0,0,5.36,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,35.31,8.71,0,0,7.3,0,42.54,0,0,0,0,0,0,0,0,0,0
 10-12,8.48,0,0,6.14,0,6.65,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,16.56,0,0,0,48.97,0,10.82,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,3.05,0.95,0,0,11.6,0,0,1.09,0,0,207.64,0.88,0,0,0.85,0.9,0,0,0,0,0
 24-34,0,0,1.3,0,0,1.59,0,0,0,1.69,0,0,0.8,0,7.41,0,0,0,0,6.61,0.61,0,3.93,37.25,0,2.06,0,0,0,94.44,0,0,0,0.75,6.03,0,0,1.44,0,0
 36-46,0,0,0,0,0,4.56,0,2.85,0,0.62,0,1.36,10.82,1.7,11.65,0,0,0,0,3.32,0,0,0.77,101.38,0,2.13,0,0,0,160.91,0,0.65,0,0,10.92,0,0,0,0,0
 48-58,0,0,3.11,0.75,0,18.41,0.68,0,0,3.37,0,11.52,0.6,0,1.36,0,0,0,5.62,5.99,2.03,0,0,97.33,0,3.04,0,0,0,77.69,0,0,1.13,0,10.63,0,0,6.42,0,0.54
 60-70,0,0,2.47,0.59,0,33.97,0,4.04,0,8.15,0,4.46,0,0.95,21.66,0,1.16,0,0,11.27,5.89,0.88,2.03,83.6,0,4.57,0,0,1.08,104.93,0,0,0,0,10.4,0,2.97,4.52,0,0
 72-82,0,0,10.42,2.35,0,55.92,0,0,0.83,18.72,1.02,1.19,0.79,1.65,4.85,0,0.74,0,0,10.99,2,0.88,2.85,79.33,0,1.57,0,0,0,73.64,0,3.73,0,0,2.78,7.87,0,3.81,0,1.31
 84-94,0,0,6.67,1.28,0,23.63,0,1.33,1.58,5.44,0.94,7.17,3.2,1.7,6.84,0.62,0,0,0,15.37,14.96,0.65,2.58,47.42,0,3.34,0.82,0,0,227.56,0,2.39,0,0,13.73,20.25,0.56,5.29,2.24,0
 96-106,0,0,26.85,2.92,0,38.25,0,0.67,0,10.67,0.7,0,0,3.11,11.59,1.28,2.23,3.07,0,16.86,7.8,1.09,0,40.87,0.62,8.64,0,0,0,169.29,0,0,4.28,0,1.91,40.62,0,2.86,0,0
108-118,0,0,32.68,1.9,3.75,38.09,0,1.78,0,8.28,1.19,0,2.87,3.23,9.77,0,1.93,0,0,26.27,2.65,5.66,3.28,56.93,0,2.53,0.72,0,1.07,127.34,0,0,0,0,1.71,47.33,0,1.61,1.63,0.79
120,0,0,31.5,12.14,0,45.17,0,3.66,0,3.97,1.19,0,0,5.51,4.84,0,0,0,0,15.88,15.63,2.47,0,42.54,0,2.34,0,0,0,102.11,0,0,0,0,0,18.9,0,0,0,0
