stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5.19,4.84,0.88,0,1.41,0,0
 24-34,0,2.92,0,0,0.7,0,0,0,0,0,11.5,0,0.65,3.09,0,0
 36-46,0,0,0.69,0,0,0,0,0,1.75,0,18.5,0,0,4.17,0,0
 48-58,0,0,0,0,2.65,0.43,0,0,0.38,0,15.29,0,4.46,0,0,0
 60-70,0,0,5.39,0,0,2.19,0,0,0,0,5.2,0,0,0,5.3,0.7
 72-82,0,0.84,12.72,0,1.82,0,3.94,0,3.74,0,19.91,0,0,0,0,0
 84-94,0,0,14.72,0,0,0,0,0,0,0,6.53,1.2,0,0,0,0
 96-106,0,0,18.46,3.79,0.97,1.71,1.56,0,0.73,0,11.74,0,6.2,0,0,0
108-118,0,0,4.21,0,0,0,0.89,0,1.72,0.56,34.58,0,0.89,0,0,0
120,0,1.06,0,0,0,0,0,2.19,0,0,18.68,0,0,0,0,0
