stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,6.7,16.32,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,6.2,0,0,0,0,0,0
 14-21,0,0,0,0,1.64,0.85,1.19,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,1.42,8.47,0,0,0,0.9,0,0,0,12.2,0,0
 24-34,0,0,0.67,1.2,1.28,0.9,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,47.77,0.99,1.86,0,0,3.37,0,0.66,21,0,0
 36-46,0,0,0,0,0.59,0,1.54,0,0,0.82,0,0,0,0,0,0,0,0,0,2.85,0,2.89,162.95,0,1.71,0,0,0,0,0,22.56,0,0
 48-58,0,0,0,0,3.09,0,24.75,0,0,0,2.25,0,2.63,0,0,0,0,0,0,3.6,0.73,1.12,155.39,0,4.32,5.01,0,0.47,0.46,0,22.86,0,0
 60-70,0,0,0,0,3.59,0,55.5,0,0.94,1.48,6.82,0.99,0,0,0,0,0,0,0,2.46,0,0,284.74,0,2.24,0,0,0.81,0,0,29.71,0.85,0
 72-82,0,0,2.08,0,1.19,2.2,105.44,0.95,0,0,21.4,0,0,0,0,0.71,0.79,0,0,25.57,1.05,0.58,283.6,0,15.67,1.1,0,1.79,0,0,17.65,1.33,0
 84-94,0,0,0,0,0,4.35,70.23,0,0,0,9.3,0,0,0.73,0,10.1,0,0,0.95,18.49,0,0,217.63,0,6.62,1.23,0,0.56,0,0,17.78,0.6,0
 96-106,0,0,0,0,1.74,1.9,50.57,0,0,0,1.95,0.71,0,0.57,0,0,0.62,0.61,0,7.68,0,0,179.81,0,8.44,2.21,0,0.84,0,0,0.57,5.53,0
108-118,0,0,0,0,0,0,74.6,0,0,0,7.2,0,0,6.52,0,0,0,0,0,5.69,0,0.53,218.76,0.67,19.94,2.1,0,0,0,0,5.8,5.11,0.6
120,0,0,0,0,0,0,113.06,0,0,0,4.03,0,0,0,1.65,0,0,0,0,14.94,0,6.04,527.98,0,17.14,15.59,0,2.87,0,0,0,1.61,0
