stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,87.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,41.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,34.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.63,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,26.03,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0
 24-34,0,0,59.3,1.84,0,4.46,0,13.37,0,0,0,0,1.18,0,0,0,0,0,0,7.11,0.84,3.29,0.65,15.01,0,0,0,0,0,0,0,0,2.08,0,0,72,0,0
 36-46,0,0,50.96,0.58,0,2.56,0,33.97,0,1.97,0,0,0.99,0,0,0,0,0,0,85.53,0,6.38,6.44,23.68,0,0.91,0,0,0,0,0,0,2.79,0,0,91.99,0,0
 48-58,0,0,55.2,0,0,11.88,0,19.95,2.15,0.9,0,0,5.48,0,0,0,0,3.96,0.48,123.05,0,3.72,12.22,28.1,0,0,0,0,1.52,0,0,0,4.47,0,1.62,56.47,0,0
 60-70,0,0,67.72,0,0,13.14,2.93,41.81,3.71,17.81,0,0,3.81,0,0,0,2.75,0,0,374.43,2.18,11.07,17.39,37.49,0,0,0,0,5.94,3.2,0,0,4.58,0.73,2.99,68.31,0.73,5.88
 72-82,0,0,37.35,0,0,36.58,0,29.14,4.91,12.06,0,0,25.85,0,1.36,5.12,1.44,0,0,659.09,0.61,17.13,9.76,37.66,0,0,0.66,0,6.13,2.04,0,0,9.57,0,10.65,192.4,12.4,3.15
 84-94,0,0,103.65,0,0,24.04,0,38.96,4.26,4.81,0.58,0,19.77,0,2.23,3.26,0,0,0,568.83,0,32.52,17.29,27.82,0,2.03,0,0,7.5,0,1.4,0,1.05,0,6.99,177.8,10.74,0
 96-106,0,0,118.71,0,0,22.17,0,52.65,18.17,1.12,0.66,0,28.67,0.69,0.57,1.23,9.91,0,0,551.65,2.28,37.33,10.17,69.6,0,4.47,0,0,29.94,3.3,0,0.6,0,1.68,15.31,220.14,15.39,0
108-118,0,0,122.47,1.18,0.5,26.62,0.54,67.21,14.3,21.11,1.17,0,8.93,0,7.94,3.84,5.8,0,0,680.28,0,26.55,16.81,74.52,0.85,1.14,0,0,18.17,1.02,0,0.44,7.54,0.41,19.99,170.11,16.31,0
120,0,0,88.94,14.15,0,25.87,0,56.02,17.51,6.01,3.49,0,18.72,0,0,10.34,7.05,0,0,463.73,1.56,26.58,10.04,53.75,0,0,0,0,34.58,0,0,0,8.23,2.82,15.44,264.74,10.32,0
