stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites
  3-4,256.97,5682.89,0,0,0,0,0,0,0,171.33,0,0,0
  5-6,498.59,4962.27,38.45,0,0,42.37,206.44,0,31.38,100.18,0,0,0
  7-9,120.49,81.3,137.64,0,246.26,191.95,2467.02,109.6,775.1,6.61,8.75,0,0
 10-12,0,90.13,89.73,14.97,207.87,50.58,1477.68,128.86,526.73,0,18.4,27.01,9.11
