stage,blastomeres,gut,liver,neural,pgc
  5-6,12.7,0,0,0,0
 36-46,0,0,0,0.65,0.81
 48-58,0,0,0,1.33,0
 60-70,0,0,0,2.39,0
 84-94,0,0,1.37,8.78,0
 96-106,0,1.28,0,0,0
120,0,3.74,0,9.6,0
