stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96,0,0,0,3.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7.04,0,0,0,0,0
 24-34,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.92,0,2.45,0,0,0,0,0,16.35,0,0,0,0,0
 36-46,0,0,0,0,0,28.5,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,138.27,0,0.66,0,0,0,0,5.91,48.32,0,0,0,0,0
 48-58,0,0,0.83,0,0,243.43,0,0,0,3.01,0,0,0,0,0,2.43,0,0,1.95,0,0,216.01,0,0,0,0,0,3.93,0,93.45,0,0,2.7,0,0
 60-70,0,0,1.73,0,0,2948.73,0,0,0,6.46,0,0,0,0,0,0,0,0,2.84,0,0,353.19,0,0,0,0,0,1.41,0,47.79,0,0,0,0,0
 72-82,0,0,8.31,0.72,0,3867.57,0,0.68,0.82,23.18,0.7,0.66,0.59,0,0.57,0.67,7.06,0,12.64,0.49,0,380.32,0,0.52,1.37,0,0,0,0,70.69,1.2,1.21,3.77,1.85,0
 84-94,0,0,17.03,0,0,2039.35,0,0.75,0,48.52,0,0,0,0,0.71,0.65,0,0,17.51,1.94,8.25,270.61,0,0,3.07,0,0,3.18,0.74,33.2,0,0.64,1.96,1.93,0
 96-106,0,0,7.06,0,0,1945.27,0,0.62,1.06,34.28,2.76,4.52,0,0.66,0,0,13.41,3.42,4.82,1.06,1.03,300.51,0,0,1.16,0,0,0,0,19.52,3.56,0,0.68,0,0
108-118,1.14,0,0.5,0,5.07,1660.69,0,0,0.95,16.94,0.42,0,0,0,1.01,0,0.46,0,7.61,0,0.92,233.31,0.54,2.44,2.68,0,1.83,2.49,0,9.83,3.92,0,0,0.89,0
120,0,1.66,0,3.12,0,718.31,1.99,0,0,75.37,0,0,0,0,8.35,0,0,0,4.05,0,1.01,601.46,0,0,4,0,0,0,0,90.71,0,0,0,0,8.94
