stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.68,37.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,39.08,0,0,0,0,0,726.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410.08,8.35,0,0,188.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.67,152.72,0,18.02,0,0,0,1308.51,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,3953.68,15.44,0,0,321.93,0,0,0,0,0,0,94.21,0,0,0,0
 14-21,0,0,1.05,1.18,14.1,1.46,0,25.9,0,0,0,928.91,0,0,1.3,0,0,0,0,0,0,6.19,0,0,5.54,3109.62,6.87,77.25,1.85,3.46,0,13.87,2.01,2.37,6.08,15.86,4067.56,0,0,0,0
 24-34,0,0,0,0,8.43,6.11,0,154.51,0,0.62,0,639.95,0.77,0,1.18,3.83,0,0,0.62,2.39,0,18.04,0.93,0.89,8.09,5993.18,1.59,154.1,9.12,0,0,9.32,0,0,4.64,7.28,4201.69,0,0,15.28,0
 36-46,0,0,0,0,2.27,0,0,3699.36,0,0,0,902.88,0,0,0,5.4,0,0,0.61,0,0,13.36,0,2.85,8.71,4316.03,4.99,208.65,0,0,0,13.26,0,0,0,0.6,3280.19,0,0,10.42,0.72
 48-58,0,0,0,0,10.67,1.85,0,7358.67,3.52,0,2.31,2049.94,0,0,0,0,0,6.39,1.63,5.93,0,33.2,0,2.92,20.89,3001.79,6.13,72.77,3.96,0,0.47,0.82,0,0,0,0,1965.57,0,0,3.3,31.69
 60-70,0,0,0,0,4.93,0,0,5473.63,0,0,1.24,1740.02,0,0,0,9.6,0,0,0,0,3.44,14.82,0,0.67,4.61,1894.18,0.66,66.72,0.59,0,0,4.46,5.3,0,1.95,0,494.7,0,0,3.33,0
 72-82,0,0,0,0,25.26,0.51,1.5,1355.84,1.5,0,3.24,1816.58,3.36,0,0,3.77,3.46,0,0,0,0,42.7,0,0,1.56,1387.04,0,139.54,33.55,0,0,0.97,0,0,0,0,166.28,0,1.62,6.38,11.16
 84-94,0,0,0,0,33.68,0,0,1154.32,0,0,1.54,1090.7,4.81,0,0,0,0,0,0,0,0,47.26,3.77,2.12,5.45,1029.85,0,73.08,0,0,0,2.85,0,0,0,0,285.09,0,0,11.01,6.87
 96-106,0,0,0,0,30.68,1.01,0,993.87,0,12.31,0,940.96,0.75,0,3.51,0.66,0,7.51,0,0,0,38.92,0,2.83,0,746.65,2.79,111.33,0,0,0,6.1,0,0.69,0,0,123.24,0,1.22,1.66,0.85
108-118,0,0,0,0,23.28,3.77,0,948.77,0.44,0,0,1337.78,5.75,0,0,1.74,0.81,0,1.45,0.48,0,34.06,0,0.56,1.1,938.63,0.77,90.23,3.56,0,0,2.51,0,0,0,0,17.98,0.74,1,0,0
120,0,0,0,0,13.01,0,0,787.62,0,0,0,1543.03,0,0,0,0,0,0,0,9.22,0,26.38,0,0,0,1083.8,2.28,131.35,0,0,0,1.57,0,0,0,0,4.72,0,1.51,0,0
