stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,slow.muscle,somites,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,100.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,96.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,5.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,0,0,0,0.86,0,0,0.97,0,0,0
 24-34,0,0,0,0,0.69,0,0,0,10.03,0,0,2.06,0,0,1.37,0,0,0,1.97,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,19.91,0,0,1.07,0,0,1.13,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.52,11.11,0,0,0.62,0.72,0,2.5,0,0,0,0,0,0,0,0.51,0
 60-70,0,0,0,0,0,0.68,0,0,0.82,0,0,1.92,7.81,0,19.34,0,0,0,3.22,0,0,0,0,0
 72-82,0,0,0,0,1.02,0,0.68,0,7.56,0.59,0,5.34,16.4,0,1.78,0,0,0,0,0,0,4.09,0,0.64
 84-94,0,0,0.62,0,1.17,0,0,0,7.4,0.81,0,1.11,20.59,0,0,0,0,0,0.9,0,0,1.22,0,0
 96-106,0,0,0,0,0.93,0,0,0,23.27,0,0.75,16.64,12.12,0,2.62,0,0,0,4.01,0,0,0,0,1.76
108-118,0,0,2.43,2.61,0,0,0,0,19.2,0,0,2.87,28.29,0.44,0.95,0,0,0,1.06,0.5,0,0,0,2.7
120,0,0,3.42,0,0,0,0,13.4,23.69,0,0,0,49.18,0,0,0,4.76,0,3.56,0,0,0,3.36,0
