stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.51,355.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,7.58,107.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,14.68,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,5.02,0,3.5,7.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02,0,0,0,3.47,0,0,10.79,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,105.95,3.1,0,0,2.83,0,1.28,1.46,0,0,0,10.98,0,1.85,0,1.16,0,0,0,375.86,0.93,48.26,0,0,0,89.19,0,0,0,2.29,3.09,0,0,0,0
 24-34,0,0,0,1.44,265.69,0,18.21,0,32.46,0,36.72,1.98,0,2.24,8.82,22.22,0,9.44,0,0.89,6.28,0,0,917.27,0,193.92,5.05,0,0,307.31,0,4.03,0,0,12.62,0,0,5.86,0
 36-46,0,0,0,0,262.15,0,11.74,0,55.16,0,67.74,1.82,1.26,0,4.98,23.95,0,6.92,0,0.84,11.8,0,0.67,755.15,0,109.26,0,0,1.69,424.24,0,2.55,0.58,0,35.31,0,0,2.84,0
 48-58,0,0,0,0,181.93,0,45.61,0,62.96,0.41,39.15,0.44,2.3,4.81,23.65,3.46,2.58,4.64,0,3.63,12.49,0.53,1.53,1205.76,0,54.96,0,0,0,193.6,0,0,0,0,20.09,0,0,2.3,0
 60-70,0,0,0,0,223.81,0.97,26.9,0,55.92,1.9,36.34,8.34,0,0,14.25,5.42,0,9.34,4.62,15.33,18.93,0.65,0.67,1269.77,0,38.31,0.62,0,0,229.7,0,0,0,0,36.7,1.96,0,19.65,0
 72-82,0,0,0.78,0,138.39,0,43.43,0,49.76,1.1,24.41,9.19,1.12,0,23,14.84,0,8.38,0,14.08,9.47,0,0,895.03,0,57.61,0,0,0,164.46,0,0,0,0,11.41,2.28,0,16.93,1.12
 84-94,0,0,1.2,0,309.46,0,41.72,2.02,66.14,0,21.51,17.21,0,0,40.69,21.5,0.63,7.36,0,12.97,9.34,0.66,0.76,412,0,39.15,5.22,0,0,417.19,0,1.19,0,0,27.33,4.9,0,5.6,0
 96-106,0,0,2.67,0,198.17,0.6,24.39,0,37.31,0,23.03,28.44,1.06,0,46.82,13.72,0,3.48,3.06,10.88,19.31,0,2.84,265.14,2.35,45.72,0,0,0,271.62,0,0,0,0,2.15,4.86,0,5.91,2.45
108-118,0,0,0,0,252.61,0.88,23.21,0,89.3,7.03,22.78,31.81,0,0,40,25.53,0,1.7,0.73,14.15,11.86,0.63,0,387.7,0,43.7,0.72,0,0,206.67,0,0,0,0,0,16.75,0.86,2.42,0
120,0,0,0,0,333.62,0,48.03,0,65.78,10.54,39.39,27.29,0,0,56.53,24.22,0,16.37,0,1.71,10.26,0,0,438.89,0,72.68,2.51,0,1.79,201.32,0,0,0,0,0,15.03,0,5.6,0
