stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,207.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,0,0,0,0,9.17,0,0,0,0,0
 14-21,0,11.06,98.64,76.72,0,0,0,0,0.98,0.84,1.57,0,0,0,6.19,0,5.61,0,0,0,33.54,0,4.04,0,0,19.34,1.81,0,0,0,0
 24-34,0,0,2.81,8.81,0,0,0,0.68,0,3.29,0,0,0,15.22,8.55,0,4.2,0,0,0,36.06,1.75,42.11,0,0,8.37,0,0,2.44,0,0
 36-46,0,0,0,0,0,0.82,0,0,0,1.62,0,0,0,10.89,0.69,0,0,0,0,0,35.41,5.21,56.13,0,0.86,12.22,0,0,0.63,0,0
 48-58,0,0,0,0,0,1.86,0,0,0,0,0,0,0,7.31,0.62,0.79,1,0.63,0.69,0,25.42,1.81,27.38,0,0.62,0.68,0,0,0,0,0
 60-70,0.62,0,0,0.6,0,0.75,0,0,0,0,0,4.42,0,19.32,0,0,4.24,1.53,0,0,8.82,1.27,45.91,0,0,0,0,0,0,0,0
 72-82,0,0,0.73,0,0,7.94,0,0,0,0,0,0,0,33.74,0,0,1.92,0,0,0,14.31,0.49,93.5,0,0,0,0,0,0,0,0
 84-94,1.15,0,1.79,0,0,0.7,1.63,3.27,0,0,0,0,0,73.18,1.86,0,6.02,0,0,0.7,7.03,3.49,182.54,0,2.87,1.81,0,0,0,0,9.76
 96-106,1.37,0,0,0,0,15.54,0,0,0,0,0,0,0,135.21,6.74,0,2.51,0,1.75,0,15.8,2.18,224.1,0,12.01,0,0,0,0,1.42,0
108-118,1.57,0,4.31,0.68,0,0.73,0.88,0.48,1.13,0.78,0,0,1.59,105.35,5.23,0,3.74,0,0,2.66,16.16,1.34,179.14,2.37,2.02,1.12,0,0.68,0,0,0
120,0,0,1.59,0,1.71,11.43,9.12,0,0,2.59,0,0,0,100.04,0,0,4.34,0,2.61,0,52.24,6.39,383.21,0,18.94,0,0,0,2.96,0,0
