stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.29,0,0,0,0,25.06,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,121.51,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0.85,0,0,0,0,0
 24-34,4.07,2.04,1.49,0,0,0,0.71,593.07,0,0,9.9,6.24,0,0,0.75,11.31,0,0,0.76,0,0,0,1.54,0,0,1.51,0,0
 36-46,0,0,9.95,0,0,0,0,806.25,0,0,8.74,1.49,0,0,0,21.47,0,1.56,0,0,0,0.57,2.62,0,0,0,0,0
 48-58,0,0,0,9.01,0,1.85,0,869.67,0,0,0,4.93,0,0,2.32,37.44,0,0,0,0,0,0,4.84,0,0,2.22,0,2.92
 60-70,0,0,0,2.57,3.35,5.91,0,909.99,0,0,0,5.44,0,5.24,0,33.44,0,2.85,0,0,0,0,3.57,0,0,0,0,0
 72-82,0,0,9.04,12.57,0.89,3.69,0,1195.39,0,0,0,2.89,0,0,1.1,21.82,0,0,0,0.59,18.82,0,0,0,0.91,0,0,0
 84-94,0,0,0,6.31,0,2.37,2.75,1685,0.97,0,0,3.77,0,0,0,11.12,3.84,0,0,1.91,0,0,0,1.95,0,0.57,0,0
 96-106,0,8.06,10.81,15.35,9.53,4.46,1.63,2245.51,0,6.54,0,9.08,0.71,0,1.81,27.06,0,3.16,1.04,0.68,0,0.6,0,0,0,13.42,0.61,0
108-118,0,1.59,16.15,27.1,0,6.45,1.78,1878.63,2.5,0,3.52,17.5,0,0,0.99,47.75,0.48,0,0,2.38,0,0,0,0,0,4.32,0,0
120,0,18.28,2.55,4.69,0,0,0,2553.03,0,5.08,0,22.73,0,0,0,38.75,0,0,0,3.36,0,0,5.23,0,0,0,1.8,0
