stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,869.38,18171.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.28,0,0,0,0,0,0,0,0
  5-6,333.78,5199.27,0,9.08,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,207.46,0,0,0,19.47,75.12,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.63,9.18,0,0,17.96,0,31.08,0,0,0,0,0,0,0
 10-12,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.48,0,0,0,26.06,0,31.53,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.7,0,0,0,0,1.26,0,0,0,0.83,0,0,0,0,0.95,0,0,21.19,0,2.02,0,4.09,0,0,0.82,4.13,0,1.57,7.24,0,3.98
 24-34,0,0,0.6,0,2.08,0.89,0,0,0,0,0,0,0,48.07,0,0,0,1.34,0.66,0,1.94,37.29,0,3.68,0.99,0,1.26,0,0,22.2,1.33,3.43,9.93,0,14.9
 36-46,0,0,0,0,2.15,1.17,0,0,0,0,0,0.73,0,18.73,0,0,0,1.83,0,0,2.44,85.78,0,0,0,0,1.34,0,0,5.98,3.53,0,18.32,0,14.5
 48-58,0,0,0.44,0,0,14.66,0,0,1.26,0.43,0,1.48,0,9,0,0,0,1.29,0.92,0.38,0,115.62,5.77,0.97,0,0,0,0,0,4.12,3.17,0,13.61,0,9.56
 60-70,0,0,0,0,0,24.3,0,0,0.84,8.47,0,0,0,2.61,0,0,0,2.73,0,0,2.81,118.7,0,0,0,0,1.27,0,0,6.08,11.31,0,16.49,0,24.04
 72-82,0,0,0,0,0.72,28.11,0,0,0,2.33,0,0.75,0,12.46,0.57,0,0,4.92,0,0,0.49,60.95,0,0,1.28,0,2.49,0,0,6.44,1.72,0,18.36,1.01,37.2
 84-94,0,0,1.55,0,2.16,44.33,0,0,0,2.32,0,0,0.67,19.29,0,0,0,2.68,0,0,2.27,50.32,0,0,5.13,0,4.73,0,0,9.62,2.99,0,12.29,0,37.12
 96-106,0,0,0.83,0,2.05,56.76,0.57,0,0.74,5.63,0,0,0.58,17.53,0,0,0,10.1,0,0.58,0.58,45.17,0,3.48,8.29,0,1.05,0.93,0,6.87,7.74,0,3.6,0,39.54
108-118,0,0,0.41,0,3.33,43.83,0.44,0,0,1.56,0,1.42,1.22,16.41,0,3.36,3.14,11.32,0,0,1.59,55.61,0,1.17,4.76,0,1.5,0,0,5.82,0.43,0,6.8,0,31.32
120,0,0,0,0,0,27.4,0,2.34,0,2.7,0,0,18.18,5.34,0,0,0,27.1,0,0,0,43.16,3.58,0,3.16,0,1.01,0,0,4.49,0,0,4.6,0,50.29
