stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,95.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.79,0,0,0,0,0,0,0,0,0,0,0,58.21,0,0,0,0,0,0,0
 10-12,0,0,4.69,0,0,0,0,0,0,0,0,0,59.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,1.01,0.83,0,0,1.02
 24-34,0,0,0,0,0,0.78,0,0,0,2.64,0,0.71,28.24,0.7,0,0,0,2.98,0,1.2
 36-46,0,0,0,0,0,3.37,0,0,0,0.57,0,0,24.24,0,0,0,0,7.25,0,0
 48-58,0,0,0,0,0,4.1,0,0.96,0,0,0,0,15.08,0,2.12,0,0,3.88,0.42,0
 60-70,0,0,0,0,0,2.54,0,1.17,0,2.41,0,0.82,35.87,0,0,0,0,8.58,0,0
 72-82,0,0,0,0,0,3.07,0.58,0,0,1.33,0,0,6.79,0,0.53,0,0,0,0,0
 84-94,0,0,0,2.17,1.3,5.47,0,2.63,1.22,0,0,0,4.62,0,3.88,0,0,0,0,0
 96-106,0,0,0,0,0,11.05,0,0,0,0.99,0,0,2.09,0,0,0,0,0,0,0
108-118,0,0,0,0.51,5.22,5.6,0,0,0,4.9,0.69,0,19.42,0,0,0,0,0,0,0
120,0,0,0,0,8.26,0,3.46,0,0,3.84,0,2.55,4.56,0,0,0,0,0,0,0
