stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.89,1.86,0,0,0.74,0,0,0,0,0,0,1.2,0,0,0,2,1.83,0,0,0
 36-46,0,0,1.36,0,0,1.13,0,0,0,0,0,0,1.01,0,12.72,0,0,0,4.09,0.78,0,2.81,0
 48-58,0,0,0,0,0.69,0.79,0,0,0,0,0.4,0.38,0,1.36,8.85,0,0,1.23,0.88,1.87,0,1.45,0
 60-70,0.57,0,0,0,1.1,0.75,0,0,3.92,0.58,0,4.44,0,1.64,7.63,0,0,0,0,7.77,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.5,0,3.38,0,0,1.18,0,0,0,0,0,0,0,1.25
 84-94,0.56,0,2.87,0,6.4,1.14,3.13,0,0,0,0,11.51,0,0,4.24,4.43,0,1.52,4.92,1.26,0.62,0,0
 96-106,0,0,0,0,0,0,2.58,0,0,0,0,1.7,0,0,0,0,0.61,0,0,0,0,0.8,0
108-118,0,0,2.87,0,0,0,1.14,0,0,2.22,0,4.94,0,0,3.71,0,0,0,3.59,0,0.42,0,0
120,0,0,3.69,0,0,0,0,0,0,0,0,0,0,1.92,41.49,0,0,10.78,0,0,0,0,0
