stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.66,1674.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.75,0,0,0,0,0,0,0,0,0,0
  5-6,134.54,2275.72,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.73,24.88,0,0,63.44,0,16.83,0,0,0,0,0,0,0,0,0,0
  7-9,85.87,25.59,0,92.33,0,0,0,180.2,0,0,0,0,0,91.26,0,0,0,0,0,0,0,0,0,0,1352.65,90.98,0,0,526.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.21,0,37.57,0,0,0,125.1,0,0,0,0,0,77.78,0,0,0,0,0,0,0,0,0,0,1505.93,54.67,0,0,639.72,0,6.67,3.96,135.67,0,8.8,0,0,0,0,0,0
 14-21,0,0,0,1.03,53.68,11.93,0,20.4,0,0,0,3.35,3.55,0.91,1.89,0,0.9,0,0,0,22.09,0,0,28.09,266.02,8.24,0,7.12,7.26,0,6.41,60.01,1.94,3.79,37.05,89.33,0,0,1.8,0,1.92
 24-34,0,0,0,0,6.78,4.31,0,31.13,0,1.82,1.67,9.17,0.73,0,1.53,0.98,0.62,0,0.91,0,52.14,0,0,13.28,330.62,0.76,0,3.64,0,0,4.29,0,0,0.76,7.22,81.24,0,0,9.31,0,0
 36-46,0,0,0,0,5.87,0.84,0,46.19,0,0,0.62,16.35,0,0,0.6,0,0,1.36,0,0,41.85,0.63,0,12.11,242.72,0.66,0,4.16,0,0,4.24,0,0,0,0,77.44,0,0,4.23,0,0
 48-58,0,0,0,0,0.79,3.26,0,109.78,0,0,4.94,27.23,0.92,0,2.2,0,0,0.51,0,0,69.7,0.46,3.45,17.44,273.91,0,0,1.62,0,0,4.07,0,0,0,0,69.51,0,0,0.91,0,0.99
 60-70,0,0,0,0,5.34,0,0,123.4,0,0.63,3.13,28.97,0,0,1.72,0,0,5.43,0,0,68.95,0,5.59,8.92,111.16,1.11,0,2.58,0,0,1.04,0,0.83,0,0,37.09,0,0,14.32,0,0
 72-82,0,0,0,0,0.76,0,0,75.15,0,0,8.87,30.07,0,0,2.28,0.6,0,0.72,3.54,0,94.43,1.79,4.26,7.98,123.81,0,0,0.49,0,0,1.3,0,0,0,0,6.85,6.19,0,2.27,0.69,1.38
 84-94,0,0,0.94,0,1.42,0,2.35,52.68,1.16,0.55,0,21.06,0.62,0,3.61,1.07,0,0.74,0,1.74,45.58,0,2.3,0.58,79.51,0.69,0,5.03,0,0.57,11.39,0,0,0,0,14.05,0,0.68,4.69,0,0
 96-106,0,0,0,0,5.14,0,0,39.88,0,2.14,1.89,13.35,3.79,0,2.77,2.36,0,0,0.63,1.68,44.27,0,1.53,5.32,60.19,0,0.68,0.61,0,0,0.62,0,0,0,0,8.03,0,0,5.43,0,0
108-118,0,0,0.54,0,6.77,1.68,2.97,16.65,0,0.61,0.75,10.13,1.11,0,0.9,2.44,0,1.8,0,0.5,24.45,0.6,0,5.58,52.45,0.83,0,2.06,0,0,0.85,0,0,0,0,3.18,0,0,4.32,0,1.09
120,0,0,0,0,6.46,1.99,0,13.9,0,0,2.6,4.7,5.08,0,0,5.37,0,0,0,0,12.53,0,0,7.93,31.29,0,0,0,0,4.22,1.62,0,1.13,0,0,0,0,0,2.86,0,0
