stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.02,0,0,0,30.46,0,0,0,0,0,10.79,0,0,0,0,0
 14-21,0,2.43,0.93,3.07,12.1,27.38,0,0,0,3.1,0,0.81,0,0,0,0,1.01,4.86,0,0,28.6,94.71,5.34,0,0.91,0,0,0,18.04,3.67,7.31,108.35,23.32,0,2.22,0,0
 24-34,0,0,0,0,0,20.14,0,0,0,2.2,0,1.17,0,0,0,0,0,35.49,0,0,45.08,125.53,6.38,1.62,2.16,0,0,0.76,0,0,0,6.37,24.32,0,11.54,0,0
 36-46,0,0,0,0,0,15.36,0,0,0,4.4,0,0.99,0,0,0,0,0,69.24,1.35,0,28.09,61.97,4.13,0,0,0,0,1.75,7.71,0,0,0,7.63,0,4.28,0,0
 48-58,0,0,0,0,0,30.75,0,0,2.17,4.9,0,0.4,0,0,0,0,0,76.2,0,0,23.94,55.74,6.47,0,1.26,0,0,4.86,0,0.38,0,0,2.73,0,3.62,0,2.82
 60-70,0,0,0,1.81,0,306.53,3.43,0,0,4.35,0,0.76,1.88,0,0,0,0,118.59,0,0,12.73,43.89,0,0,0.71,0,0,0,0,0,0,0,1.48,1.63,9.79,0.73,0
 72-82,0,0,0,0.52,1.4,574.95,0,0,0.55,2.97,0,9.93,0,0.57,0,0,1.79,156.7,0,3.88,18.22,48.47,0,0,3.1,0,0.72,0,0,0,0,0,5.94,0.52,30.25,1.39,0
 84-94,0,0,0,0,0.62,460.19,5.31,0,1.83,5.15,0,1.02,0,5.18,0,0,0,119.6,0,1.94,18.84,58.7,0,0,4.55,0,0,0.91,0,0,0,0,0,0,23.24,2.46,0
 96-106,0,0,0,1.27,0,324.76,2.9,0,0.75,7.21,0,7.06,2.26,0,0.79,0,0,94.39,0,0,11.72,37.35,0.66,0,4.36,0,4.96,0.93,0,0,0,0,0,1.65,36.31,1.96,0
108-118,0,0,0,0.56,6.44,254.86,1.75,1.51,2.49,5.08,0.88,3.78,3.85,7.22,0,0.97,0,104.26,1.38,10.27,19.45,73.72,1.15,0,5.41,0,5.42,0.47,0,0,0,0,2.91,2.45,42.3,0,0
120,0,0,0,1.45,0,416.63,5.95,0,0,24.31,0,7.11,0,0,0,0,0,153.04,12.84,6.75,15.5,71.02,0,0,1.43,0,0,0,0,0,0,0,0,0,5.84,24.91,0
