stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,24.78,795.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0
  5-6,89.98,814.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0
  7-9,16.44,8.5,0,7.87,0,0,0,8.19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,246.23,7.54,0,0,54.04,0,4.77,0,0,0,0,0,0,0,0
 10-12,0,10.7,0,14.61,0,0,0,14.96,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0,0,135.05,5.97,0,0,12.98,3.1,14.56,28.63,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,16.87,1.81,0,3.91,0,0,0,0.85,0,0,0.89,0,0,0,0,0,1.13,2.06,0,0,0.91,26.69,2.63,0,0,0,1.02,0,0,0,4.15,10.5,0,0,0,0
 24-34,0,0,2.06,0.6,4.09,0,0,7.78,0,0.85,0,2.07,0,0,0.94,0,0.83,0,1.2,0,0,13.13,1.77,0,1.79,104.53,1.23,2.42,3.02,0,10.43,0,1.32,1.16,2.94,25.98,0,0,5.43,0
 36-46,0,0,0,0,10.84,0,0,15.77,0,0.68,2.71,5.05,0,0,0,0,0,0,0,0,0,14.09,0,0,7.46,108.72,0,12.49,0.76,0,4.41,0,0,0,0,30.88,0,0,0.62,0
 48-58,0,0,0.42,0,1.46,0,0,32.91,0.53,1.26,0.39,8.05,0,0,1.55,0,0,0,0,0,0,14.39,0.41,0,1.06,113.06,5.19,1.08,0.39,0,7.83,0,0,2.95,0,16.45,0,0,3.58,0
 60-70,0,0,0,0,3.74,0,0,99.18,0.97,0.96,3.35,9,0,0,0,0,0,0,0,0,0.71,11.03,0,0,1.66,63.55,1.69,1.15,1.84,0,2.79,0,0,0,0,8.01,0,0,2.06,0
 72-82,0,0,0,0,1.17,0,0,66.84,0.57,2.85,0,4.05,0,0,0,0.69,0.7,0,0,1.54,0,24.89,0.66,0,2.3,66.84,0.66,4.22,0,0,3.88,0,0,0,0,4.78,0.56,0.49,0,0.76
 84-94,0,0,0.66,0,1.18,3.68,0,73.93,0,0,0.92,7.46,4.44,0,0,1.1,0,0.55,0,0.67,0,26.99,1.51,0,0.98,61.65,0,0,1.04,0,7.28,0,0,0,0,12.06,0,1.82,0.77,0
 96-106,0,0,2.86,0,1.79,9.27,0,56.75,0,0,0,11.17,6.17,0,0,1.54,0.81,0,2.11,0,0.98,20.51,0,0.69,1.73,54.72,0,2.13,0.77,0,5.56,0,0,0,0,6.85,0,0,2.86,1.49
108-118,0,0,7.57,0,1.95,2.59,1,35.9,0,0.97,0.84,14.54,0.9,0,0,0.47,0.83,0.64,0,1.2,0,10.68,0,2.45,0.69,54.01,0,0.46,1.77,0,4.12,0,0,0,0,0,0,0,7.13,0
120,0,0,0,0,6.98,0,2.35,23.67,0,0,0,2.88,6.22,0,0,0,6.31,2.83,0,0,0,13.37,0,0,0,63.17,0,0,6.42,0,10.8,0,2.89,0,0,0,1.94,0,0,0
