stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.16,488.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,259.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,10.04,7.18,0,0,0,0,0,0,0,0
  7-9,13.12,9.73,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.94,0,0,0,13.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.71,4.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.98,0.82,0,0,0,0,0,0,0
 24-34,0,0,0,0.79,13.86,0,0,1,0,0,0.73,0,0,67.23,1.93,0.66,0,0,0,0,0,0.62,46.06,0,11.84,0,0,13.02,0,0.6,8.94,0,0,0,0,0
 36-46,0,0,0,0,7.39,0,1.92,3.34,0,0,0,0,0,78.13,0.61,2.99,0,0,1.67,0,0,0,90.08,0,23.91,0,0,36.44,0,1.22,19.91,0,0,3.91,0,0
 48-58,0,0,0,0,22.77,0,6.54,3.49,0.41,0,0,0,0,116.35,1.14,4.12,0,2.01,3.05,0,0,0,155.22,1.24,15.38,1.09,0,40.8,0,0,25.94,0,0,0,0,0
 60-70,0,0,0,0,26.05,0,20.93,5.18,0,0,4.99,1.77,0,125.57,1.94,2.29,0,0,3.08,2.91,0.64,1.55,115.56,0,19.31,0,0,44.62,0,4.15,21.74,0.76,0,2.37,2.76,3.23
 72-82,0,0,0,0.56,19.08,0.59,39.17,3.12,0,9.59,1.62,0,0,134.85,2.65,14.3,0,0,15.92,0,4.15,1.2,280.59,0,28.92,3.07,0,28.95,0,0,13.89,2.97,0,0.81,2.85,0
 84-94,0,0,4.78,0,39.38,0,17.68,11.36,0,4.97,19.7,0,0,130.35,3.3,0,0,0.86,12.28,0.93,0,2.16,166.92,4,20.64,1.75,0,76.41,0,0.97,14.75,1.71,0,0,4.43,0
 96-106,0,0,1.06,0,29.51,2.85,44.96,6.59,0,9.7,8.66,0,0,196.7,0,8.39,0,0.69,29.66,0.69,0.92,0.67,168.94,0,33.67,6.14,0,46.67,0,1.32,5.21,5.12,0,7.94,1.89,0.62
108-118,0,0,1.78,0,38.85,0,44.27,19.05,0.53,14.47,8.9,0,0.61,217.73,0.71,8.31,4.09,0,8.83,0,1.08,0.43,199.71,1.43,14.98,10.48,0,22.61,0,0.75,4.85,8.09,0,4.69,0.65,0
120,0,0,0,0,50.62,0,56.06,10.09,0,14.99,16.65,0,0,580.7,5.64,0,8.35,0,34.46,0,0,0,364.52,0,29.9,8.54,0,41.98,0,1.13,53.95,1.94,3.79,1.48,10.7,0
