stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.4,396.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,17.34,501.5,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.62,0,17.84,0,0,0,52.71,0,0,0,0,0,20.72,0,0,0,0,0,0,0,0,0,0,0,400.94,16.77,0,0,76.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.98,0,16.27,0,0,0,82.59,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,566.37,59.89,0,0,72.22,0,0,0,8.04,0,0,0,0,0,0,0
 14-21,0,0,0,4.47,25.31,3.73,0,16.56,0,0,0,4.51,0.9,0,0,0,0,0,0,0,0,15.94,0,0,8.14,170.59,13.76,0,3.9,0.94,0,8.06,3.65,1.28,0,12.67,47.5,0,6.04,0,0
 24-34,0,0,0,6.34,6.3,3.17,0,22.54,0,0.73,0.99,11.48,0.69,0,1.04,0,0,4.08,0,0.86,0,32.39,0,0,28,288.54,6.1,0,5.56,0,1.14,10.41,1.03,0,0,2.27,58.65,0,5.06,0,0
 36-46,0,0,0,0,7,0,0,24.89,0,0,0,18.83,0,0,0,4.27,8.6,0,0,11.7,0,44.33,0,2.26,14.68,196.98,19.56,1.89,0.8,0,0,38.2,1.63,6.07,0.64,1.09,41.27,0,2.88,0,1.19
 48-58,0,0,0,0,10.23,0,0,40.33,0,1.19,3.12,29.22,0,0,0,0,0,0,0.97,0,0,75.85,0,5.8,11.4,117.38,16.32,1.25,2.1,0,0,18.65,0,0.55,0,0,52.5,1.28,5.83,0,0
 60-70,0,0,0,0,14.25,0.57,0,51.95,1.28,8.17,8.94,26.64,0,0,0,4.2,0,0,0,0,2.19,68.65,2.65,1.74,13.92,99.09,0.63,0.98,0.94,0,3.24,8.7,0,0,0,0,25.39,1,7.48,0,0
 72-82,0,0,0.58,0,3.48,0,0,37.92,0,0,4.95,43.05,0.66,0,0,0.55,1.02,0,0,0,0,99.15,0.74,0.49,4.56,50.99,0.91,0,4.26,0,0,2.21,0,0,0,0,16.88,0.85,10.23,0,0
 84-94,0,0,0,0,12.81,0,1.31,29.17,0.55,5.61,0,22.05,2.57,0,0,2.06,0,0,0,0,0,88.65,3.03,2.45,4.15,60.2,0,0,9.83,0,0,6.74,0,2.81,0,0,7.81,7.03,19.01,2.46,0
 96-106,0,0,0,0,11.19,9.09,0.8,51.01,0,1.31,8.23,32.02,5.77,0,2.56,1.29,0.74,0.89,3.96,1.37,3.97,60.37,2.35,1.01,4,38.59,0.68,2.9,6,0,0,5.23,0,0,0,0,2.13,0,9.79,1.66,6.64
108-118,0,0,3.38,0,8.54,0.64,5.17,38.27,0,0,2.24,31.87,4.44,0,2.95,0.46,0.52,2.18,0.43,2.15,1.04,59.82,6.54,3.53,9.47,65.96,1.78,1.19,3.25,0,0,10.35,0,1.76,0,0,0.45,0.5,17.11,1.87,0
120,0,0,0,0,7.43,0,5.22,10.01,0,1.01,2.59,29.08,5.4,0,0,7.7,0,0,0,1,0,52.11,2.63,6.76,16.32,121.53,2.83,0,0,0,0,10.33,0,0,0,0,20.56,0,3.14,1.99,0
