stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.68,0,28.61,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0.81,0
 24-34,0,0,0,0.71,0,0,0,0,0,0,42.98,0,0,0,0,21.57
 36-46,0,0,0,0,0,0,0,0,0,0,71.3,0,0,0,0,19.87
 48-58,0,0,0,3.38,0,1.95,0,0,0,0,91.18,0,0,0,0,18.95
 60-70,0,0,0,19.49,0,2.59,0,0,0,3.46,241.16,0,0,3.75,0,11.6
 72-82,0,0,0,32.01,0,4.23,0,1.64,0,0,353.39,0,0,0,0,22.13
 84-94,0,0,0,26.13,1.31,4.27,0,1.52,0,0,229.79,0,0,1.11,0,14.75
 96-106,0,0,1.96,14.21,0,4.98,0,2.61,0,0,177.21,0,0,0,0,10.18
108-118,0,2.1,0,11.19,0,5.94,0.81,1.59,1.27,0,289.33,0,0,2.54,0,13.51
120,0,3.4,0,18.73,0,18.21,0,9.16,0,0,692.44,1.38,0,0,0,1.19
