stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,21.07,358.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0
  5-6,0,215.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.13,27.67,0,0,0,0,0
  7-9,0,0,3.42,0,0,4.58,0,0,0,0,0,0,0,0,0,0,35.57,4.58,12.33,0,0,0,0
 10-12,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,10.31,0,0,0,0
 14-21,0,0,3.84,0.92,1.64,1.13,0,1.22,0,0,0,0.93,3.05,0,0,0,12.03,0.99,0.87,0,2.08,1.03,6.94
 24-34,0,0,0,0,0,1.41,0,0,0,1.04,0,0,1.46,0,0,1.01,20.11,0,0,0,0,1.51,1.54
 36-46,0,0,0,0,0,2.52,0.57,0,0,0,0,0,1.2,2.85,0,0,5.7,0,0,0,0,0,7.51
 48-58,0,0,0,0,0,7.57,0,0,0,0,0,0,0.71,0.53,0,0,2.02,0,0,1.55,0,0,0.81
 60-70,0,0,0,0.64,0,0.61,0.68,0,0,0,0,0,0,0.73,0,0,7.57,0,0,6.53,0,0,2.38
 72-82,0,0,0,0,0,0.52,0,0,0,0.5,0,0,2.37,0,0,0,6.79,0,0,10.96,0,0,0.91
 84-94,0,0,0,0.83,0,0,0,0.95,0,3.43,0,0,0,0,0,0.59,5.19,0,0,14.41,0,0,0
 96-106,0,0,0,0,0,4.94,0,1.05,0,2.76,0,0,2.31,0,0,0,10.41,0,0,3,0,0,4.25
108-118,0,0,0,0.94,0,4.51,0,1.34,0,2.22,1.68,2.4,0.91,0,0,0,6.97,0,0,0.98,0,0,0
120,0,0,0,0,0,0,0,0,8.01,8.36,0,0,0,0,8.17,5.25,17.29,0,0,2.97,0,0,0
