stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1023.44,17974.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.86,0,0,0,0,0,0,0,0
  5-6,169.96,2144.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14785.37,0,0,0,0,17.41,0,0,0,0,0,0,0,0
  7-9,20.25,0,0,36.51,0,0,14.58,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,552.56,15.09,0,0,92.61,0,12878.9,0,0,0,0,0,0,0
 10-12,0,33.94,0,29.06,0,0,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,102.32,0,0,0,50,0,5859.1,0,0,0,0,0,0,0
 14-21,0,0,2.24,78.87,12.36,3.43,4.64,0,0,15.44,19.43,0,1.26,0,2.81,0,0,0,45.77,0,23.56,903.98,543.5,0,0.89,0.96,0,2664.58,74.81,2.2,11.22,75.68,0,0,0
 24-34,0,0,0.84,0.89,0,0,4.7,0,0,9.1,1.86,0,0,0,0,0,0,0.63,65.25,0,11.53,34.1,0,5.66,0,0,1.14,83.1,0,0,1.46,51.26,0.85,0,1.99
 36-46,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0.56,0,3.52,0,2.72,18.48,1.42,9.03,150.82,0,10.66,0.75,0,0,256.91,0,1.34,0,34.6,0.73,0,0.97
 48-58,0,0,0,0,0,0,12.61,0,0,3.49,0,0,0,0,0,11.37,0,0,13.9,1.15,9.19,38.42,0,2.71,0,0,4.9,19.33,0,0,0,26.9,0,0.5,2.27
 60-70,0,0,0.57,0,15.62,0,4.62,0,0,12.08,0,0,0,0,0,16.6,0,9.57,16.27,4.28,0.8,39.38,0,1.42,0,0,0,7.89,0,1.24,0,1.6,0,0,0
 72-82,0,0,0,0,0,0,7.14,2.77,3.14,22.92,0,0,0,0,0,46.73,0,0,21.43,9.07,4.81,12.27,0,2.75,0,0,4.77,6.21,0,0.97,0,4.5,0,5,8.32
 84-94,0,0,0.7,0,0,0,3.27,0,0,34.43,0,0,0,0,0,106.53,0,1,18.32,2.29,2.4,13.84,0,8.04,0,0,4.78,0,0,0,0,3.91,0,14.66,2.14
 96-106,0,0,0,0,2.46,4.22,5.13,2.93,0,48.41,0,0,0,0,0,61.46,2.1,0,40.94,0,3.82,34.79,0,8.7,0.62,0,1.43,0.64,0,0,0,6.9,0,8.28,1.87
108-118,0,0,1.24,0,5.69,0,16.08,0,1.23,58.19,0,0,0,0,0,83.7,3.36,0,24.45,3.78,4.44,22.5,0,2.5,0,0,1.16,2.82,0,0,0,2.15,0,4.5,14.13
120,0,0,0,0,4.85,0,0,0,8.78,30.39,0,0,0,0,0,132.48,0,0,8.11,0,2.8,27.94,0,6.22,0,0,0,2.5,0,9.87,0,0,0,13.85,0
