stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,43.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,10.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,3.59,0,0,0,0,0,0,6.82,1.19,0,0,1.41,0,0
 24-34,0,0,1.64,0.76,0,2.92,0.91,0,0,0,0,0,1.85,122.07,18.55,0,0.96,0,1.95,12.83,0,0,49.25,0,18.3,0,0,2.13,0.79,1.54,6.11,0,0,0,0,0
 36-46,0,0,4.55,3.69,0,2.23,1.93,0,0,0,0,0,0,280.72,33.45,0,1.15,0,0.6,56.54,0,0.63,209.99,0,46.88,0,0,27.71,1.95,0,4.94,0,0,0,0,0
 48-58,0,0,5.65,8.34,0,2.57,0.77,5.49,0,1.32,0,0,0,275.81,7.87,0,8.82,0,3.11,68.78,0,0,233.03,0,85.15,1.73,0,6.34,0,0,4.23,0,0,0,0,0
 60-70,0,0,29.24,8.8,0,5.08,0,0,0,0,0.77,0,0,310.85,12.16,0,4.88,0,5.18,62.85,0,0,49.36,0,88.05,0,0,6,0,0,0,6.1,0,0,0,0
 72-82,0,0.87,32.85,12.96,0,25.21,0,3.6,0.56,8.32,46.42,1.6,0,518.15,38,0,66.27,0,15.39,122.64,0.63,5.08,216.24,0,297.64,0,0,13.62,10.81,0,1.21,180.39,0,7.67,1.45,0
 84-94,0,0,51.24,12.15,0,10.32,0,2.03,0.75,4.29,95.42,0,0,641.65,35.65,7.09,43.79,2.64,4.7,243.7,1.17,1.23,320.07,0,258.73,0,0,9.83,0,0,5.55,876.57,0,0,0,0
 96-106,0,0,98.41,27.08,2.35,37.06,0,7,0,7.58,249.77,0,0,703.54,79.1,0,165.47,29.8,38.97,241.39,0,1.04,299.05,0.98,515.9,1.7,0,35.87,0,0,2.09,1912.19,4.18,5.07,0,13.77
108-118,0,0,108.14,12.38,1.79,54.01,1.76,9.3,0.8,13.4,335.41,0,0,627.58,62.2,2.9,106.92,2.75,26.01,201.71,4.41,2.79,200.68,0,407.41,0.96,2.36,13.67,0,0,8.3,2062.66,2.7,5.01,0,0
120,0,0,196.62,12.41,0,11.88,2.34,0,3.48,6.97,281.12,0,0,932.93,88.94,0,49.69,3.71,35.46,107.79,0,2.43,332.1,0,441.95,4.8,0,13.17,2.39,0,7.21,1104.69,0,10.64,0,0
