stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,206.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,112.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.93,6.38,7.9,0,0,4.13,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,114.87,5.55,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.43,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.92,11.84,1.77,7.8,0,0,3.43,0.82,0,0,0,0,0,0,0,0.86,14.95,0,0,9.82,149.37,0.94,1.98,0,0.84,0,4.73,0,10.92,4.96,14.77,49.87,0,0,1.88,1.85
 24-34,0,0,0.62,0,0,25.47,0,0,5.5,0,0,0,0,0,0,0,0,0,13.67,1.24,0,5.26,217.04,1.09,0.73,2.04,0,0,10.36,0,0,0.6,1.27,37.97,0,0,9.24,0
 36-46,0,0,0,1.01,0,42.1,0,0,7.14,0,0,0,0,0,0,0,4.92,2.39,24.62,0,0,4.2,218.52,0,1.42,1.38,0,0,4.95,0.81,0,0.72,0,37.78,0,0,0.65,0
 48-58,0,0,0,6.6,0,31.4,0.43,0,11.63,0,0,0,4.52,0,0.97,0,1.02,0,17.99,0,0,0,84.14,4.59,1.82,0,0,0,7.56,0,0,0,0,12.38,0,0,2.18,0
 60-70,0,0,0,3,0,32.81,0,0.6,12.58,0,0,0,0,0,9.66,0.67,1.45,0,13.05,0,0,0,82.4,0,0,0,0,0,3.31,0,0,0.59,0,9.98,0,0,4.77,0
 72-82,0,0,0,0.57,0,33.83,0,0,10.88,0.7,0,0,1.46,0.7,0.71,1.5,0.74,0.5,21.3,0,0,2.41,49.04,0,0.97,2.34,0,0,9.55,0,0,0,0,1.68,0.68,1.01,7.19,0
 84-94,0,0,0,3.87,0,14.97,0,2.69,6.3,4.51,0,2.27,0.64,0,0.66,0,4.71,0,25.07,0,1.91,1.78,29.28,0,0.93,0.91,0,0,10.35,0,0,0,0,0,0.83,0,0.59,3
 96-106,0,0,0,6.4,0,9,0,0,6.22,0,0,0,0,4.05,0,0,0,0,11.56,1.07,0,10.96,25.21,0.62,0,2.36,0,1.94,2.55,0,0,0,0,0,0,0,8.5,0
108-118,0,0,0,10.17,0,12.81,0.43,0,12.49,0.92,0,0,1,0.68,4.28,0.44,3.36,0,17.47,5.82,0,0.46,38.8,0,1.05,0.77,0,0,1.71,0,0,1.06,0,0,0.66,0,3.79,0
120,0,0,0,1.19,0,3.37,0,0,1.21,1.92,0,0,1.42,0,0,0,0,0,4.97,0,0,0,44.25,0,8.55,2.44,0,0,2,0,0,0,0,0,0,0,1.89,0
