stage,erythrocytes,eye,glial,immune,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
 24-34,0,0,0,0,0,0,0,0,0,0.81
 36-46,0,0,0,0,0,6.57,0,0,1.47,0
 48-58,0,4.76,0,0,5.42,6,0,0,0,1.57
 60-70,0,8.45,6.12,0,0,15.33,0,0,0,0
 72-82,0,2.79,1.27,0,1.36,27.32,0,0,2.33,0
 84-94,0.79,3.39,0,0,0,20.81,0,0,0,0
 96-106,0,1.74,0,0.83,0,0,0.74,0,0,0
108-118,0,8.81,0.48,0,0,23.4,0,0,0,3.24
120,0,0,0,0,1.71,43.59,0,2.84,0,0
