stage,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,somites,vasculature
  7-9,0,0,0,0,0,0,0,6.06,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.3,0,0,0
 14-21,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 24-34,0,0,0,0,0,4.01,0,12.05,1.37,0,0,1.56,0
 36-46,0,15.58,0,0,1.06,0,0.59,7.84,0,0,0,0,0.9
 48-58,0,0,0,0.46,0,1.18,0,1.92,0,0,1.42,0,0
 60-70,0,0,0,0,0,2.01,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.79,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,16.23,0.66,0,0.83,0,0,0,0
 96-106,0.67,0,0,1.75,1.48,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.39,0,0,0,0,0,0,0
120,0,0,2.22,6.71,0,0,0,3.6,0,0,0,0,0
