stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.19,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,120.94,0,0,0,3.4,0,0,0,3.69,0,0,0,0,0
 14-21,0,11.84,0.96,4.37,0,0,0,0.99,0,0,0,0,0,1.01,5,0,36.48,0.95,0,0,0,0,0,5.23,4.53,5.33,7.39,0,0,0
 24-34,0,3.31,0,10.03,0,0.74,0,0,0,0,0,0,0.68,1.74,9.14,2.22,231.43,0,0,0.8,0,0,0,0,0,2.77,16.12,2.17,0,1.43
 36-46,0,0,0,7.49,0,0,0,0,0,0.96,0,0,4.84,0,6.74,0.72,769.65,0,0,0.6,0,0,9.83,0,2.13,0,115.56,0,0,2.22
 48-58,0,0.93,0,61.06,0,0,2.22,0,0,0,0,0,3.4,1.77,13.63,1.15,466.12,0,0,0.92,0,0,0,0,0,0,137.6,0,0,2.61
 60-70,0,0,0,54.27,0,0.89,14.27,0,0.88,0,0,0,5.22,0,25.85,0,112.51,0,0,0.91,0,0.66,0,0,0,0,39.77,0,0,2.58
 72-82,0,0,0,24.07,0,0.59,5.33,0,0,0,0,0,4.18,0,32.16,0,63.27,0,1.22,0,0,0,0,0,0,0,4.19,0,0,10.24
 84-94,0,1.14,0,33.4,0,0,6.81,0,0,0,0,0,9.1,2.21,39.86,0,61.67,0,0,0,0,0,0.56,0,0,0,8.19,1.99,0,0
 96-106,0,1.46,0,19.18,0.69,0,4.78,0,0,0.7,0,0,13.79,5.18,32.94,0,53.83,0,1.62,2.68,0,0,0,0,0,0,0,0,0,9.66
108-118,0,3.71,0,30.47,0,0.85,5.34,0,0,0.94,1.23,0.41,2.43,4.52,48.54,0,76.35,0,0,0,0,1.55,0,0,0,0,1.12,0,3.48,1.74
120,0,4.41,3.22,52.02,0,0,23.17,0,0,11.41,0,0,1.12,0,61.64,0,56.57,0,10.3,0,0,0,0,0,0,0,2.5,0,0,15.02
