stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,10.7,0,0,381.17,0,0,0,0,0,78.51,0,0,0,0,0,0
 14-21,0.96,4.19,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.23,44.4,0,0,0,1.66,0,0,49.05,0,5.78,850.73,14.62,0,0,0.86,0,0
 24-34,0,0.85,0,0,0,0.94,1.55,3.18,0,0,0,0,0,2.78,0,17.74,0,0,27.44,13.14,0,0,0,0,0,0.98,2.17,0,6.91,104.34,2.03,0,0,16.44,0,0
 36-46,0,2.46,0,0,1.15,11.63,1.77,0,0,0,0,0,0,0,0,88.93,0,37.75,26.1,16.4,0,0.93,0,0,0,0,0,0,15.21,0.83,6.19,0,0,3.07,0,0
 48-58,0,0.38,0,0,9.79,11.91,0.97,2.67,0,0,0,0,0,0,1.61,103.6,0,127.96,21.72,47.32,0,0,0,4.77,0,0,0,0,30.81,0,12.56,0,4.67,2.97,0.5,0
 60-70,0,7.01,0,0,12.22,25.31,2.03,0,0,0,0,0,9.35,0,0,369.53,0,295.71,27.14,66.97,0,7.39,0,0,0,3.66,0,3.18,12.56,0,18.5,0,53.05,1.72,69.32,0
 72-82,0,5.81,0,0,59,6.44,2.65,2.96,0.71,0,0,0,0,0,0,649.47,0,376.31,28.12,80.12,0,0,1.39,0,6.38,0,0,0,10,0,9.45,4.15,155.86,3.02,188.89,7.11
 84-94,0,9.71,0.86,0,71.55,12.72,0,6.78,0,1.1,2.2,0,0,0,1.64,457.46,1.23,421.38,30.23,31.31,0,3.03,0,0,3.75,5.94,0,0,24.33,0,6.46,2.5,206.24,1.43,181.12,0
 96-106,0,9.55,0.92,3.86,47.19,13.35,6,7.22,3.9,0,0.96,0,0,0.72,6.09,464.69,3.31,378.9,37.09,67.49,0,2.65,0,0,4.36,2.18,0,1.1,30.44,0,32.22,0,103.82,1.6,168.55,10.23
108-118,0,12.35,1.38,0.45,32.75,7.34,6.61,3.27,0.65,0,0,1.4,0,1.8,0,521.41,0,327.43,48.02,40,1.83,0.7,0,0,19.81,7.86,0,0,36.22,0,5.94,0,36.32,4.67,138.16,0
120,0,9,0,0,0,8.38,0,12.37,0,0,0,0,0,0,3.69,403.94,0,654.86,47.72,29.76,0,0,0,0,0,1.78,0,0,6.72,0,3.49,0,18.72,3.67,215.57,0
