stage,blastomeres,eye,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord
  5-6,6.55,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,3.37,0,0.93
 60-70,0,2.06,0,0,0,0,0,0.67,1.13,0,0
 72-82,0,0,0,0,0,0,0,0,3.15,1.37,0
 84-94,0,0,0,0,0,0.71,1.32,0,0,2.58,0
 96-106,0,0,0,0.98,0,0,0,0,1.83,0.67,0
108-118,0,0,0,0.5,1.16,6.87,0,0,6.89,0,0
120,0,0,0,0,0,0,0,0,0,1.03,0
