stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,mucous,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0.92,0,4.81,0
 24-34,0,0,0,0,0,0,0,0,0,0.79,0,2.44,0,0,1.19,0,0
 36-46,0,0,1.19,1.87,0,0,0,0,0,0,2.44,0,0,0,0,0,0.63
 48-58,2.01,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0.76
 60-70,0.95,0,3.43,0,0.69,0,0,0,0,0,4.31,0,3.97,0,0,0,0
 72-82,0,0,0.74,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0
 84-94,1.2,0.69,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0
 96-106,0.64,0,0,0,0,1.42,0,0,0,3.85,0,0,2.97,0,0,0,0
108-118,1.07,0,5.29,0,0,0,0,0,0.65,0,5.09,0.8,0,0,0,0,0
120,1.08,0,0,0,0,0,2.78,0,0,0,10.68,0,3.48,0,0,0,0
