stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,7.65,0,0,0,0,0.85,0,0,0,0,0,123.41,0,5.23,0,0,0,43.8,0,0,0,3.31,0,0,0,1.54,1.09,0,0,0,0,0
 24-34,0,0,2.16,0,0,157.12,0,0,0,9.39,0,0,0,0,0,0,360.73,0,26.47,0,0,8.02,192.64,0,0,0,6.16,0,0,0,0,3.49,0,0,0,0,0.6
 36-46,0,0,0,0,0,506.94,0,0,0,33.9,0,0,0,0,0,0,146.57,0,140.7,0,0,16.52,579.74,0,0,0,18.83,0,0,0,0,0.78,0,0,0,0,0
 48-58,0,0,0,6.03,0,936.85,0,0.39,11.72,277.58,0.46,0,0,0,0,0,81.27,0,204.12,0,0,6.63,657.98,0,1.4,0,4.33,0,0.62,0.42,0,4.61,0,0,1.77,0,0.85
 60-70,0,0,0,0,0,445.32,0,0,39.77,93.31,0,0,0,5.08,0,0,91.46,4.05,320.57,0,0,3.35,444.44,0,0,8.44,2.37,0,0,0,0,4.87,0,0,0,0,1.18
 72-82,0,0,5.78,6.39,0,1746.54,2.62,21.85,117.61,227.75,0.9,12.11,0.59,0,0,0,63.76,0,507.28,0,1.21,14.59,623.76,0,0,0,10.14,0,0,0,0,6.84,4.75,1.57,7.95,0,0
 84-94,0,0,7.27,5.42,0,3403.14,0,1.56,112.12,79.09,0,0.7,0.57,0,0,1.05,83.57,0,532.47,1.6,1.44,6.58,509.41,0,0,6.51,15.85,437.17,0.67,0.79,0,3.37,1.68,0.63,0.57,0,0
 96-106,0,15.17,208.46,32.87,0.66,4959.39,0,19.05,153.96,1162.26,2.9,2.05,8.92,0,0.57,0,22.45,0,705.39,0,0.62,1.05,583.81,0.63,0,1.77,5.24,0,0,0.84,0,20.46,0,4.76,2.44,5.38,5.61
108-118,0,0.76,183.07,0.54,3.66,4333.96,0,2.62,96.91,252.52,1.71,3.16,3.5,0.49,0.55,0,17.63,4.59,647.62,9.61,0,5.58,490.59,0,2.83,1.55,7.5,0,0.48,0,0,146.58,0,3.24,4.66,0,0
120,0,8.41,22.24,11.93,0,7427.97,0,49.01,115.65,1192.84,0,3.83,0,0,0,0,1.86,0,793.1,0,0,7.82,372.85,0,0,0,13.62,0,0,0,0,0,0,4.07,22.81,0,0
