stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0
 10-12,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,0,0,71.43,0,0,0,0,2.45,0,0,0,2.2,0,0.92,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,41.89,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.96,0,0,0,9.12,0,0,0,4.48,0,0,0,0,0.66,0,2,0,0,0,0,0
 48-58,0,0,0,0,0,0.54,0,0,0,0.63,0,6.84,0,0,0,2.88,0,0,0,0,0,0,0.92,0,0,0,0,0
 60-70,0,0,0,0,0,5.43,0,0,15.45,0,0,10.14,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.55,0,5.01,0,3.47,22.21,0,2.49,64.15,0,0,0,18.21,0,0,0,0,0,0,11.66,4.21,0,0,0,2.09
 84-94,0,1.04,0,0,0,0.57,0,0,51.32,0,0,96.1,0,0,2.73,8.57,0,0,0,0,0,2.83,0,0,0.98,0,3.29,0
 96-106,0,0,0,0.88,12.46,9.47,0,1.18,91.84,0,0,174.89,10.01,0,1.46,43.22,0,0.63,0,0,0.67,6.55,0,0,0,0,0,0
108-118,0,0,0,7.51,0,3.2,0.84,6.4,125.45,0,0,270.07,10.25,0,0,34.85,0,0,0.89,0,1.3,1.59,0,0,0,2.17,0,0
120,0,0,0,0,0,6.46,0,0,88.8,0,0,142.26,2.69,6.75,0,59.52,0,0,0,0,0,2.3,0,0,0,0,0,0
