stage,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord
 14-21,0,0,2.91,0,0,0,0
 24-34,0,0.73,1.4,7.19,0,0,0
 36-46,0,0,0.83,2.7,0,0,0.78
 72-82,0.71,0,3.84,0.74,0,0,0
 96-106,1.1,0,0,2.21,0,0,0
108-118,2.36,0,0,0,0.98,0.46,0
