stage,axial,blastomeres,endoderm,eye,hatching.gland,liver,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,499.46,6615.62,0,0,0,0,0,0,0,312.25,0,0,0,0
  5-6,419.91,6526.35,6.55,0,28.87,0,334.14,29.64,46.74,139.94,0,0,0,0
  7-9,71.38,176.17,167.82,225.18,131.08,0,2738.96,156.34,877.81,4.29,78.12,0,0,0
 10-12,0,8.74,48.43,86.14,9.95,5.32,909.39,22.09,298.21,0,65.72,50.21,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0
 24-34,0,0,0,1.14,0,0,4.22,0,0,0,0,0,0,0.64
