stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.8,316.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0
  5-6,0,386.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.07,0,0,0,22.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,25.08,12.35,0,0,403.68,0,0,9.19,9.61,0,0,0,0,0,0,0,0
 14-21,0,0,1.85,7.23,12.42,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,21.19,0,0,272.64,68.35,0,0,0,17.76,0,0,112.17,4.85,223.8,1544.7,3.27,0,0,73.52,0,0
 24-34,0,0,0.84,25.22,2.17,1.36,1.37,0,0,0,0,0,19.85,1.1,0.61,2.48,0,0,4.59,292.56,0,0,228.28,70.74,0,1.74,0.63,0,0,0,0,15.95,46.62,146.09,19.81,0,0,389.33,0,0.91
 36-46,8.46,0,0,10.81,0.81,15.17,9.3,0,7.65,7.33,0,0,37.45,0,0,2.16,0,0,29.13,732.58,0.56,3.86,340.46,179.05,0,0.68,0,0,3.38,0,3.64,15.53,22.74,2.95,48.32,0,1.25,365.29,0.78,1.85
 48-58,0,0,0,22.9,0,13.06,4.63,0.38,14.89,13.12,0.45,0,37.25,0,0,10.26,0.39,1.02,14.39,954.88,0,12.55,256.27,187.16,0,0,0,0,1.82,0.42,0,2.94,3.54,0,11.85,0,7.78,322.82,1.94,0
 60-70,0,0,0,26.93,0,23.33,3.82,8.13,9,102.39,0,0,51.87,0,0.71,74.18,0,0,27.01,1387.41,2.63,72.04,232.99,206.21,0,0,6.42,0,69,3.51,0,5.48,1.34,0,22.66,0,60.75,379.35,44.08,4.48
 72-82,0,0,0,22.46,0.55,59.62,9.85,1.75,14.04,272.38,0.65,2.07,54,1.18,0,31.33,0,6.05,12.22,1859.45,0.56,153.3,302.62,384.07,0,6.8,1.38,0,87.5,0,0,1.6,4.38,0,12.08,3.77,162.88,658.69,143.01,4.8
 84-94,0,0,1.04,54.77,0,118.72,0,0,14.14,248.37,0.58,0,59.75,0,0.87,118.75,0,3.63,54.19,1836.38,0,184.14,307.93,374.31,0,2.08,3.23,0,112.23,0,0,5.65,0.57,0,3,0,167.02,823.34,180.11,0.89
 96-106,0,0,0,71.43,4.87,59.72,8.61,2.08,28.71,407.3,0.61,0,65.29,0,3.54,109.26,1.34,2.4,8.36,1723.8,0,244.66,210.62,356.8,0,0,5.42,0,156.9,0,0,11.47,0,0,5.78,0,107.79,697.05,200.09,3.88
108-118,0,0,0,66.12,8.31,55.01,4.74,1.13,20.84,261.99,1.69,0,56.65,1.92,1.46,133.15,0.76,0,47.2,2218.48,1.08,214.07,200.87,379.04,1.27,0.77,1.62,0,288.55,5.77,0,3.87,0,0,7,0,83.03,566.89,145.35,20.6
120,0,0,0,56.34,2.35,55.8,2.69,4.44,28.54,396.88,2.8,0,63.98,0,0,114.18,0,3.29,18.56,1980.94,0,254.58,198.55,404.35,0,0,3.2,0,251.76,0,0,9.69,1.32,0,20.57,0,118.26,575.48,200.76,13.67
