stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,25.33,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.6,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.89,0,0,0,0,33,3.49,12.79,0,0,0
 10-12,0,0,0,0,0,0,0,41.14,0,8.27,0,0,0
 14-21,0,0,0,0,0,0,0,1.02,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.87,7.95,0,0,0,2.01,0.79
 36-46,0,0.61,1.82,0,0,0.81,0,11.13,0,0,8.05,1.67,0
 48-58,0,0,0.48,0,0,3.8,0,20.86,0,0,2.04,2.1,0
 60-70,0,0,0,0,0,0.96,0,20.81,0,0,2.43,0,0
 72-82,0,0,0.83,0,0,1.75,0,7.48,0,0,0,0,0
 84-94,0,0,0.66,0,0,1.27,0,2.75,0,0,0,0,0
 96-106,0,0,0,0,0,0.73,0,1.11,0,0,0,0,0
108-118,0,0,0,0,1.46,0,1.48,0,0,0,0,0,0
120,0,0,0,5.39,0,0,0,7.62,0,0,0,0,0
