stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,50.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.42,4.13,0,0,0,0,3.93,0,0,0,0,72.36,0,0,0,63.07,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,35.63,6.39,0,0,63.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.26,0,0.9,0.91,0,0,0,0,0,20.47,2.47,0,0,0.8,0,8.08,2.55,5.85,0,0,0,0,0
 24-34,0,0,0,0,0,10.57,1.11,0,0,0.68,1.71,0,130.28,0,4.1,1.09,0,0,0,2.63,56.51,0,0,0,0,0
 36-46,0,0,0,0,0,45.45,1.97,0,0,0,0.72,0,158.59,0,0.81,0,0,0,0,0,59.92,0,0,0,0,0
 48-58,0,0,0,0.93,0,70.66,4.23,0,0,0,0.38,0,156.59,0,0.85,0,0,0,0,0,50.03,0,0,0,0,0.42
 60-70,0,0,0,0,0,73.22,6.93,0,0,0,0.74,0,69.69,0,0,0,0,0,0,0,52.2,0.61,0.71,0,0,0
 72-82,0,0,0,0,0,49.72,5.64,0,0,0,1.69,0,54.84,0,0,1.1,0,0,0,0,10.82,0,0,0,0.9,0
 84-94,0,0,0,0.56,0,28.15,9.06,0,0,0,0.77,0,37.04,0,0,0,0,0.75,0,0,7.39,0,0,0,0,0
 96-106,0,0,0,0,0,24.23,0.72,0,0,0,0,1.81,56.16,0,0,0.9,0,0,0,0,0,0,0,0.59,0,0
108-118,0,0,0,1.2,1.35,16.75,1.07,0,1.18,0,0,0,29.32,0,1.17,0.87,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.34,0,36.58,3.91,0,0,0,0,0,67.3,0,0,0,0,0,0,0,0,0,0,18.72,0,0
