stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,532.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,163.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53,0,0,0,4.98,0,3.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.58,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.45,3.05,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,18.9,8.57,11.08,0,0,0,0,0,0.97,2.13,0,0,0,0,0,0,0,0.83,0,0,3.59,11.2,2.76,9.26,0,0,0,2.74,0,5.28,0,2.37,10.62,36.6,0,0,0,0,0
 24-34,0,24.24,3.55,3.37,0,2,0,0,3.71,3.64,2.65,1.47,0,1.18,0,0.91,0,0,1.59,0,0,1.63,246.3,0,13.93,3.79,0,0,26.49,0,0,0,0.74,16.05,112.56,0,0,3.06,0,0
 36-46,0,7.23,0,3.6,0,30.02,0,6.52,1.91,0,1.49,0,0,1.63,0,0,5.26,0,3.27,0,0,1.01,911.49,0,6.61,6.99,0,0,59.7,0,0,0,0,0,297.03,0,0,1.49,0,0
 48-58,0,2.4,0,0.45,0,145.81,0,0,2.86,11.61,0.54,0,0,0,0,1.83,0,0.71,11.41,0,3.09,1.24,1190.23,0,1.72,4.75,0,0,36.69,0,0,0.57,0,0,265.89,0,0,0,0,5.36
 60-70,0,3.67,0,3.79,0,1033.59,0,3.4,7.91,6.96,0,0,0,1.4,0,6.36,0,0,13.14,0,0.63,1.04,2164.45,0,8.72,11.12,0,0,63.28,0,0,3.64,0,0,276.95,0,0,5.92,0,3.54
 72-82,0,20.8,0,8.38,14.6,2081.61,0,0,14.19,41.77,2.08,0,0.59,0.68,5.92,12.76,0,5.12,63.53,0,0,1.92,2171.56,0,3.76,11.82,0,0,29.2,0,0,0,0,0,174.67,4.38,0,10.08,3.51,20.21
 84-94,0,35.99,0,16.19,3.29,2114.37,0.56,4.28,10.57,50.81,5.36,1.6,4.8,2.15,0.75,25.12,2.3,1.25,35.39,0,2.5,6.93,1502.81,0,17.06,22.31,0,0.57,80.06,1.4,0,0,0,0,199.01,0,1.08,4.03,5.19,0
 96-106,0,37.79,0,9.61,24.35,1746.41,3.92,5.51,9.85,42.55,4.09,1.2,0.75,3.1,0,35.15,0.7,0,22.56,0,0,2.94,1337.5,0,1.18,53,0,0,65.12,1.35,0,1.67,0,0,74.59,2.11,1.27,5.08,3.2,0.8
108-118,0,27.9,0.45,20.87,2.08,1599.58,0.78,2.27,8.41,56.37,3.27,0.63,1.92,4.57,0,21.17,0.63,0,35.52,0.45,1.04,1.88,1398.47,1.23,2.91,30.97,0,0,37.91,0,0,0,0,0,78.11,9.32,1.74,0.91,3.74,0
120,0,29.26,0,27.52,0,1316.04,0,5.06,3.99,102.41,5.27,0,0,5.02,0,56.27,0,0,73.34,1.31,6.4,8.76,2478.93,0,22.18,100.47,0,0,49.44,0,0,0,0,0,85.04,5.98,3.24,0,0,0
