stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,liver,mesenchyme,mural.cell,neural,notochord,otic,pericytes,visceral.smooth.muscle
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.59,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0
 10-12,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.42,0,0,0,0.95,0,0,0,0
 24-34,0,0,0,0,0,0.64,0,2.82,0,4.28,0,0,0,0
 36-46,0,0,0,0,0,3.12,0,0,0,6.91,0,0,0,0
 48-58,0,0,0,0,0,12.61,0,1.23,0,1.1,0,0,0,0
 60-70,0,0,3.22,0,0,5.85,0,4.16,0,0,0,0,0,0
 72-82,0,0,6.89,0,0,5.8,2.73,5.84,0,2.97,0,0,0,0.71
 84-94,0,0,6.59,0,0,11.9,0,0,0.55,0,0,0.69,0,2.01
 96-106,0,0,0.67,0,3.37,19.42,0,4.61,0.75,0,0,2.51,0,0.68
108-118,0,0.58,1.86,0,1.08,15.4,0,0,0,1.81,0,0,0.89,4.52
120,0,0,24.31,1.37,0,36,0,4.77,0,0,1.24,0,0,8.42
