stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.69,1.1,7.34,0.83,0,0,0,0,0,1.5,0,1.66,0,0,0,0,0,1.71,4.46,0,0,2.47,15.13,0,0,0,1.67,2.23,0,6.43,9.01,0,0,0,0,0
 24-34,0,1.07,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0,0,4.95,34.66,0.68,0.74,0,4.19,0,0,0,10.19,0,0,6.99,0,0.62
 36-46,0,0,8.31,0,0,0,0,0.89,0.87,1.28,0,1.67,0,0,0,0,0,0,7.33,0,0,2.1,24.97,0,0,0,11.93,0,5.71,0,6.82,0,0,0,0,0
 48-58,0,0,2.16,0,0,7.13,0,0,0,2.95,0,0,0,0,0,0.5,0,0,3.37,0,0,8.1,44.71,5.64,0,0,1,0,0,0,5.74,0,0,6.84,0,0
 60-70,0,0,0,0,0,26.74,0,0.73,0,7.08,0,0.7,0,0,0,0.86,0,0,10.38,0,0,0,50.86,1.08,0,0,1.54,0,0,0,10.17,0,0,0.72,0,0
 72-82,0,0,0.66,0,0,11.67,0.58,0.63,0.51,5.28,0.66,1.42,0,0,0,0,3.49,0,22.66,0,0,0,61.4,2.35,0.53,0,4.83,0,0,0,3.33,1.31,0.5,0,0.9,0
 84-94,0,0,1.27,0,0,6.02,0,1.81,0,8.95,0.89,0,0.65,0,0,0,0.58,0,16.34,1.83,0.95,0,8.57,0,0,0,4.29,0,0,0,0,1.56,0,0,1.79,0
 96-106,0,0,1.09,0,1.12,20.21,0,0,0,15.9,1.39,0,1.17,0.66,0,0.75,0.7,0,10.81,0,1.06,0,62.92,0,9.17,1.03,8.12,0,0,0,8.82,0.8,1.3,0.73,0,0
108-118,0,0,6.7,0,1.99,18.32,0,0.52,2.02,7.28,2.81,0,6.36,0.55,5.08,1.66,0.99,0,22.41,0,0,3.3,60.49,0.42,0.95,0,5.79,0,0,0,0,0,0,5.66,0.91,0
120,0,0,2.11,0,0,13.35,0,1.55,0,19.23,9.49,0,11.93,0,0,0,0,0,28.13,1.46,0,0,66.24,0,0,0,1.46,0,0,0,21.88,9.36,0,0,0,0
