stage,blastomeres,eye,fin.epithelia,glial,mesenchyme,neural,notochord,otic,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,11.82,10.43,0,0,0,3.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.31,0,0,0,0,0,1.93,0,0,0,0
 24-34,0,0,0,0,0,3.49,4.08,0,0,0,0,0,0.64,0
 36-46,0,0,0,0,0,1.56,1.83,0,0,0,0.97,0,0,0
 48-58,0,0.49,0,0,0.51,3.2,2.82,0,0,0,0.65,0,0,0
 60-70,0,1.2,0,2.09,0,2.74,3.12,0,0.82,0,7.39,0,0,0
 72-82,0,0.78,0,0,3.16,5.89,8.2,0,0,0,4.83,0,0,0
 84-94,0,0,0,0,0,4.12,8.79,0,2.86,0,0,1.27,0,0
 96-106,0,6.71,0,0,1.32,8.41,0.58,0,1.24,0,0,0.72,0,0.79
108-118,0,0,0.78,0,0,0.71,11.59,4.76,0,0,2.47,1.31,0,0.57
120,0,0,0,0,0,4.12,10.66,0,0,0,2.14,0,0,0
