stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,141.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,8.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.16,5.24,0,0,9.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,15.87,0,0,10.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.24,0,0,0,0,2.7,0,0,0,0,0,0,0,2.66,0,0,0.82,0,0,0,0,0,0,0.93,0,6.32,1.77,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.62,0,0,0.73,0,0,0,1.39,0,0,0,3.21,0,0,10.36,0,1.32,0,0,0,0,0,0,0,1.9,0,0.93,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0.65,0,0,0,6.34,0,1.95,23.78,0.82,1.3,0.8,0,0,8.56,0,0,0,0.56,0,4.08,0,0
 48-58,0,0,0,0,0,0,0,1.45,0,0.87,0,0,0.77,0.55,4.84,0,0,0,7.45,0.87,0.48,25.44,5.14,0,0.42,0,0,0,0,0,0,11.67,0,0.82,0,0
 60-70,0,0,0,0,0,0,0,1.1,0,2.02,0.88,0,0.6,0,0.71,0,0,1.24,23.02,1.32,1.43,77.71,0.62,0,0,0,1.19,0,0,0,0,1.89,0.57,0,0,0
 72-82,0,0,0,0,1.58,0,0,5.52,0,0,0,1.68,0,0,0,0,0,0,15.54,0.85,1.42,151.82,0,1.09,1.15,0,0,0,0,0,0,5.36,1.26,10.36,0,12.65
 84-94,0,0,0,0,5.47,0,4,3.61,4.89,0,0,0,0.7,0,0,0,0.57,0.56,18.79,0,2.95,118.9,2.58,0,0.57,0,0,0,0,0.73,0,3.65,3.57,0,0,0
 96-106,0,0,0,0,2.74,0,2.91,20.57,0,0,0.64,0,0,1.36,1.93,0,0,1.15,21.78,0,6,150.83,0.62,0,0.85,0,0,0,0,0,0,1.23,1.59,16.1,1.44,0.73
108-118,0,0,0,0,4.25,0,39.44,29.25,0,1.21,9.32,1.42,1.38,0.96,1.27,1.7,0,0.54,32.79,0.98,2.54,264.92,1.2,0,4.36,0,0,0,0,0.94,0,14.69,3.17,2.8,0.96,0
120,0,0,1.73,0,9.48,0,17.73,67.62,0,7.66,13.23,0,0,6.43,0,0,1.45,0,30.25,0,4.35,776.06,4.31,0,5.39,0,0,0,0,1.21,0,47.33,0,0,0,0
