stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.4,4506.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.58,2467.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.75,7.03,0,0,16.45,39.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,62.58,66.24,56.1,0,0,0,160.15,0,0,0,0,0,53.63,0,0,0,0,0,0,0,0,0,0,0,1330.81,26.16,0,0,316.61,0,17.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.18,32.55,0,0,0,127.34,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0,1038.15,48.35,0,0,370.22,4.52,8.58,0,13.09,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,12.17,0.82,0,7.55,0,0,0,1.12,0,0,0,0,0,1.73,0,0,0,15.1,0,0,5.31,59.59,5.6,0,0,0,1.15,0,16.55,0,1.08,10.1,10.84,0,0,0,0,0
 24-34,0,0,0,2.91,0,0,21.27,0,0,0.72,2.27,0,0,0,0.77,1.81,0,2.24,0,6.93,15.03,0,0,6.39,192.36,0,3.49,6.93,0,7.62,0,0,0.79,0.63,5.74,29.37,0,0,8.84,0,0
 36-46,0,0,0,0,0,0,43.85,0,0,2.1,11.64,0,0,0.6,0,0,0,0,0.83,0.7,34.47,0,0,9.8,334.59,0,1.73,2.79,0,7.19,0,0,0,0,0,67.87,0,0,10.96,0,0
 48-58,0,0,0,1.85,0.67,0,68.13,0,0,0.44,10.4,0,0,0.78,0,0,0,0,0,1.15,30.11,0,1,3.12,139.36,4.25,5.58,0,0,2.91,0,0,4,0,0,33.57,0,0,7.57,0,4.71
 60-70,0,0,0,2.07,0,0,138.72,0,1.45,1.86,11.5,0,0.67,0,11.03,0,0.81,1.13,0,0,46.74,0,1.58,2.7,172.71,0,0.6,2.82,0,4.75,0,0,0,1.39,0,13.52,0,0.57,0,0,11.13
 72-82,0,0,0,1.26,1.9,0,56.71,0,11.15,0,7.96,0,0,0.51,0.63,0.53,0,0,0,0,12.23,1.01,2.13,2.99,61.69,0.51,0,1.28,0,3.26,0,0,0,0,0,2.07,0,0,2.1,0,0
 84-94,0,0,0,2.84,1.24,0,49.57,0,0.65,1.44,10.32,0,0,0,0,1.87,0,0,1.78,0,20.05,0,0,2.35,51.02,4.61,2.44,6.45,0,5.63,0,0,0,0,0,8.68,0,0.75,0.98,0,2.77
 96-106,0,0,0,5.8,8.79,0,28.51,0,0,1.01,8.15,1.61,0,0,1.74,0,0,0,14.85,0,21.94,3.35,0,0,41.14,0,2.36,1.43,0,16.06,0,0,0,0,0,0.86,1.01,0,2.33,0.76,0
108-118,0,0,0,4.47,1.52,0.45,19.15,0,0.55,3.03,6.7,0.49,0,0,0,0,1.3,0.6,6.33,0,6.75,0,0,5.34,25.14,0.47,0,0.51,0,16.28,0,0,0,0,0,3.91,0,0,0.48,0,0
120,0,0,0,7.73,1.95,0,9.3,4.08,3.35,0,35.33,1.94,0,0,0,18.02,0,0,0,0,18.39,0,0,0,62.79,0,0,0,0,16.56,0,0,0,0,0,9.58,0,0,0,0,0
