stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,6.11,0,0,0,0,0,0,0,0,0
 24-34,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,2.2,0,0,0,0,0
 36-46,0,0.64,0,0,0,0,0,0,0,0,0,0.57,1.05,0,0,1.19,0,0,1.17,0,0.63,0,0,0,0,0
 48-58,0,0.58,0,2.26,0,0,0,0,0,0,0,0,2.64,0,0,8.15,0,0,0,0,0,0,0,0,0,0
 60-70,0,6.58,0,0,0,0,0,0,0,0,0,0,56.79,0,2.1,1.89,0,0,0,0,0,0,0,0,0,4.24
 72-82,0,4.39,0,4.66,0,0,0,1.24,5.57,0,0,0,150.53,2.43,0,3.37,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.15,0,6.21,0,2.93,1.81,0,0,0,0.69,0,159.03,3.94,0,0.62,0,0,0,2.8,0,0,1.26,0,0,0
 96-106,0,13.59,0,14.2,3.32,0,0,0.85,10.16,0,0,0,370.8,13.03,2.22,21.08,0,1.57,0,0,0,1.68,0,3.14,0.81,0
108-118,0,3.34,3.08,18.13,0,0,0,0,1.63,0.75,0.71,0.41,709.74,8.51,1.14,20.53,0,1.05,0,0,0,0,0,0,0,0
120,0,25.56,0,8.57,0,0,6.71,0,2.11,0,0,0,673.98,22.59,3.51,29.69,0,3.68,0,0,0,0,6.25,0,0,0
