stage,blastomeres,endoderm,exocrine.pancreas,glial,heart,immune,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,14.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.42,8.02,0,0,0,0
 10-12,0,5.07,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.57,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.62,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.02,0,0
 72-82,0,0,0,0,0,9.75,1.07,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.05,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.61,16.92,0.67,0,0,0.61,0,0,3.36
108-118,0,0,0.5,1.47,0,27.53,0.44,0,0,0,0,0.52,0
120,0,0,0,0,0,44.16,0,0,0,0,0,0,0
