stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,175.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0
  5-6,0,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,5.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,15.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.31,0,0,0,0,9.87,0,0,0,2.07,31.44,0,0,29.32,22.14,0,0,0.96,0,0,0,1.03,0.8,0,0,0.98,0
 24-34,0.88,0,0,19.11,3.48,2.09,2.54,0,74.05,0,0,0,0.96,84.95,0,3.15,32.57,17.32,0,0,0,6.71,3.12,0,0,0.64,0,0,7.67,0
 36-46,0,0,0.56,6.49,8.77,2.05,2.68,0,48.46,0,0,0,0,62.2,0,34.4,2.09,39.29,0,0,0,0.97,0.86,0,0,1.12,0,0,0,0
 48-58,0,0,0,3.82,0,0.62,7.33,0,43.46,0,0,0,0,33.37,0,61.9,4.56,57.05,0,0.44,0,34.71,0,0,0,8.04,0,0,3.21,1.68
 60-70,0,0,0,0,0,7.99,14.78,0,10.66,0,0,0,0,37.19,0,58.9,0,51.94,0,1.01,0,50.34,5.52,0,0,8.08,0,2.5,1.15,0
 72-82,0,0,0,0.49,4.07,11.43,1.65,0,10.35,0,0,0,0,12.19,0,117.05,9.07,24.96,0,0,0,109.02,2.57,0,0,8.56,0,3.62,5.36,25.34
 84-94,0,0,0,8.15,0,11.3,6.38,0,13.03,0,0.58,0,0,14.53,0,129.19,0.95,42.72,0,2.39,0,61.89,1.83,0,0,2.52,0,1.9,0,7.13
 96-106,0,0,0,1.87,0,8.2,2.02,0.69,3.72,0,0,0,0,33.93,2.72,146.49,0.71,37.8,0,0.57,0,78.4,6.7,0,0,0,0,0,7.12,29.28
108-118,0,0,0,1.47,0,13.35,4.54,1.41,0.8,0.57,0,1.26,0,18.39,0,174.07,0,46.36,0.96,0,0,117.15,3.87,0,0,0,0,0,0.43,20.85
120,0,0,0,9.29,0,0,0,0,5.94,0,0,0,0,46.71,1.46,140.55,0,7.78,0,0,0,155.57,0,2.12,0,0,3.65,7.08,0,28.64
