stage,blastomeres,epidermis,eye,gut,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm
  3-4,15.59,0,0,0,0,0,0,0,0
  5-6,65.99,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10,0,0
 10-12,0,0,0,0,0,0,0,5.5,0
 14-21,0,1.03,0,0,0,0,0,0,0
 24-34,0,0.68,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.62,0,0
 48-58,0,0,0,0,3.51,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.52
 72-82,0,0.59,0,0,0,0,2.12,0,2.14
 84-94,0,0,0,0.57,0,0,0,0,2.65
 96-106,0,2.11,0.72,0,0,0,0.58,0,5.77
108-118,0,1.4,0,0,0.46,7.86,0,0,1.89
120,0,6.5,4.21,0,0,0,0,0,21.7
