stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.14,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.87,44.52,0,99.41,1.05,0,2.03,0,0,0,13.83,0,0,0,0,0
 24-34,0,0,0,9.72,0,0,9,0,3.36,0,0,0,0,0,0,0,0,0,1.41,0,10.55,0,3.33,608.85,0,802.74,0,0,9.54,0,1.01,1.44,80.04,0,0,0.84,0,0
 36-46,0,0,0,8.92,0,0,26.42,0,0,0,7.78,0,2.52,7.22,0,0,0,0,0,0,38.39,0,8.18,1813.96,1.46,795.79,0,0,8.86,0,0.67,0,180.98,0,0,2.35,0,0
 48-58,0,0,0,6.64,0.99,0,317.74,2.28,11.3,3.91,28.51,0,0,0.99,4.79,3.14,8.31,0.41,0,0,185.33,0,38.42,3971.21,0,602.56,1.2,0,6.68,0,1.43,0,514.21,0,0,0,0,8.62
 60-70,0,0,0,14.23,0,0,555.24,0,5.22,7.24,26.97,4.04,0.66,5,0,0,0,1.16,2.4,12.47,430.94,9.54,38.68,5291.03,0.7,434.57,1.03,4.81,8.78,0.62,1.01,0,652.31,0,0,15.75,0,26.62
 72-82,0,1.35,0,24.8,7.55,0,594.51,0,4.54,7.98,25.92,3.68,0,5.08,3.94,0,3.32,0,0,2.56,835.44,3.17,86.7,4479.53,1.43,619.78,13.34,10.42,6.3,0,0,0,473.35,3.49,2.42,6.35,1.43,25.25
 84-94,0,0,0,39.35,7.54,0,543.32,0,1.14,0.96,45.51,0.93,0,18.65,3.76,0,10.71,0,8.01,0,470.79,13.65,61.47,2542.27,0,555.1,2.27,0,6.22,2.8,0,0,334.78,4.69,3.72,3.01,0,0
 96-106,0,2.22,0,33.52,12.46,0.97,307.03,0,1.87,1.86,29.58,2.38,0,12.5,1.07,0,0.92,3.02,5.71,0,531.61,2.26,25.15,1920.64,0.62,731.11,10.2,27.75,8.08,0,0.66,0,116.07,0.91,0.78,5.19,1.72,1.25
108-118,0,0,0,33.9,6.08,0.46,368.41,0,1.32,8.16,23.01,11.99,0,4.53,2.62,0,0,0,1.96,0,548.87,6.03,35.5,2467.46,0,544.94,1.64,16.8,0,0.81,0,0,104.45,4.55,1.47,0.91,0.49,8.23
120,0,0,0,26.81,6.93,0,515.92,0,2.12,6.71,88.37,1.93,0,1.61,0,4.41,0,0,0,0,621.87,18.05,13.79,2884.4,0,580.47,1.05,36.07,0,3.52,0,0,68.37,0,6.29,5.77,0,8.94
