stage,axial,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.9,0,0,3.7,0,0,0,0,0,0,0,0,0,1.55,0
 24-34,0,0,0.81,0,0,0,0,0,0,0,0,0,1.32,0.92,0,0,0,0,0,9.59,0,0,0,0,0
 36-46,0,0,2.92,2.71,0.87,0,0,0,0,0,2.52,0,0,5.25,0,0.56,0,0,0,9.76,2.66,0,0,0,0
 48-58,0,0,2.54,2.02,1.29,0.93,0.53,0,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0.61,0,0
 60-70,0,0,19.52,1.9,1.64,0,0,0,0.74,0,5.94,0,1.02,32.85,0,0,0,0,0,6.23,6.11,0,0,0,0
 72-82,0,0,14.46,4.95,2.15,0,0,0.71,0,3.49,2.92,1.07,0.57,21.59,0,4.87,0,0,0,1.21,0.98,0,0,0,0
 84-94,0,0,40.54,2.15,4.53,0,0,0,0,0,0.95,0,0,9.67,0.65,0,0,0,0,13.23,2.4,0,0,0,0.8
 96-106,0,0.6,24.94,9.52,3.63,0,0,0,1.08,0,1.19,0,0,20.54,0,1.9,0,0,0,8.29,0,2.03,0,0,0
108-118,0,0.98,7.18,11.32,0,0,0,0,2.75,0,1.55,0,0,28.64,0,1.49,0.52,0,2.89,5.89,8.12,0,0,0,0.95
120,0,0,19.44,0,0,0,0,0,0,0,0,0,0,23.48,0,0,1.73,0,0,0,0,0,0,0,0
