stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,667.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.54,0,0,0,0,0,0,0
  5-6,40.27,468.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,14.56,0,0,38.46,0,0,0,0,0,0,0
  7-9,5.61,11.24,8.07,0,0,21.77,0,0,0,13.1,0,0,0,0,0,0,162.34,8.56,0,41.02,0,0,0,0,0,0,0,0
 10-12,0,0,6.93,0,0,6.74,0,0,0,0,0,0,0,0,0,0,132.16,0,0,72.51,0,0,17.39,0,0,0,0,0
 14-21,0,0,5.59,17.96,33.47,0,0,0.9,0,0,1.07,0,1.84,24.72,0,37.51,8.09,0,0,0,0.92,16.24,3.49,3.82,59.44,18.18,25.88,0
 24-34,0,0,2.93,1.57,2.41,0,0,0,0.85,0,3.63,0,0,38.55,0,18.95,6.15,0,0,0,1.68,0,3.34,0,0.62,3.89,71.49,0
 36-46,0,0,0,0.65,0,0,0.57,0,0,0,0,0,0,34.35,1.69,10.32,2.26,0,0.6,0,0,0,1.32,0,0,0,59.87,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.48,0,0,12.95,0,3.17,0,0,0,0,0,0,0.6,0,0,0,17.36,0
 60-70,0,0,0,0,0,0.87,0,0,0,0,0,0,0,3.2,0,3.06,0.84,0,0,0,0,0,0.93,0,0,0,26.55,0
 72-82,0,0,0,0,0,0.85,0,0,0,0,0.89,0,0,4.78,0.54,0,0,0,0,0,0,0,0,0,0,0,18.09,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41,1.37,0,3.43,0,0,0,0,0,0,0,0,0,17.44,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,1.37,0,0,0,0,0,0,0,0,0,0,12.03,2.56
108-118,0,0,0,0,0,0,0,0,0,0,0,0.59,0,3.74,0,1.27,0,0,0,0,0,0,0,0,0,0,5.91,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,1.79,0,0,0,18.22,0
