stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,38.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.49,9.45,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.68,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.06,0,0,0,3.56,0,0,0,0,4.48,0,0,4.33,0,0,0,0,0
 14-21,0,0,0,4.19,0,3,0,0,0,46.92,0,9.12,0,0,0,0,0,0,57.98,0,14.12,1577.02,1.4,1.03,0,1.04,0,0,0,5.14,0,0,7.95,704.13,0,0,0.9,0,0
 24-34,0,0,2.2,7.99,2.49,34.02,0,0.7,15.76,159.62,1.31,0.67,0,0,0,0,0,0,292.91,0,110.98,5305.77,3.44,15.6,10.81,0,0,3.16,0,0,0,6.38,22.12,2037.88,0,0,18.07,0,0.89
 36-46,0,0,0,9.21,1.4,103.41,1.41,10.34,30.45,473.65,0,0,0.56,0,0,0,0,0,581.05,12.81,213.44,5957.65,3.42,16.59,2.17,0,0,14.59,0.81,0.86,9.88,0,0,3696.65,0,0,5.91,0,2.27
 48-58,0,0,0,11.21,0,167.21,0,0,32.94,735.46,0,0.48,1.6,0,0,0,0,0,563.55,12.25,95.12,2575.63,2.01,10.23,7.44,3.66,0,11.72,0.65,0,0,0,0,2342.76,0,1.37,4.05,0,0
 60-70,1.61,0,0,5.82,0,117.83,0,0,27.56,713.91,0,0,1.09,0,0,1.14,1.03,2.74,818.34,39.86,73.67,933.24,0,0,0,0,1.34,0,0,0,0,0,0,870.03,0,4.63,9.45,7.11,3.58
 72-82,0,0,1.22,16.88,0,122.99,0,0,37.7,597.23,0,0,0,0,0,0.75,0.68,0,947.21,22.23,67.85,460.63,1.09,0,8.41,0,0,1.01,0,0,0,0,0,267.99,0,9.33,13.33,33.69,0
 84-94,0,0,0,8.62,1.14,148.31,0,8.08,30.76,518.55,0.63,0,0,0,1.8,1.5,0.73,1.81,879.97,23.8,48.66,518.03,1.37,0,8.47,0,2.65,0.79,0,0,0,0,0,236.4,0,11.55,6.59,51.19,0
 96-106,0,0,0,5.35,1.42,77.4,0,0,28.03,431.98,1.9,0,0,0,0.88,0,0.75,0,699.59,5.03,32.19,358.31,0,2.47,2.52,0,6.97,0.81,0,0,0,0,0,207.74,0,5.46,6.58,29.05,4.51
108-118,0,0,0,5.66,0,67.2,0.98,0.74,21.99,426.73,0.97,0,0,0,0,2.78,0.76,2.84,782.97,4.42,23.4,503.29,3.13,2.26,13.44,0,4.05,3.44,0,0,0,0,0,99.84,3.01,4.56,2.31,24.82,0
120,0,0,0,5.06,7.77,136.19,0,0,25.6,532.22,6.78,0,0,1.18,0,3.33,0,3.87,824.08,29.37,36.12,648.3,0,0,15.02,0,0,0,0,0,0,0,0,153.73,3.57,11.19,8.47,18.39,2.59
