stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6,0,0,0,0,0,0,0,0,0,51.8,0,0,0,0,0,0,0,0,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.19,5.78,0,5.49,0,0,0,0,0.84,0,0,0,0,35.11,0,0,6.87,256.19,0,0,85.33,74.98,1.82,0,0,0,0,1.62,0,0.93,17.32,0.86,0,0,0,16.36
 24-34,0.88,0,0,0,23.26,0.88,0,11.16,0,0,8.8,1.04,1.35,1.57,35.61,0,0,164.65,0,0,37.96,796.88,0,0.89,95.55,156.43,0,0,0,0,4.57,0,0,0,9.81,7.42,0,1.32,0,1.26
 36-46,0,0,0,0,4.76,0,0,10.12,4.08,14.75,65.8,0,1.3,0,31.48,0,0,220.25,0,0,0,1219.41,0,5.18,98.36,134.95,0.58,1.79,0,10.02,0,0,0,0,0,5.46,0,0,0,1.31
 48-58,0,0,0,0,8.84,0,0,35.68,7.56,11.08,105.79,1.06,0.76,0,24.07,1.05,0.46,278.86,0,0,0,1334.75,0.69,5.02,143.01,183.49,0,1.3,0,1.86,0,0,0,0.45,0,11.72,0.49,1.7,0.72,0
 60-70,0,0,0,0,0,4.44,0,19.51,18.14,10.67,108.26,1.52,0,0,22.13,0,0,379.68,0,1.2,0,1720.6,0,3.6,68.49,152.67,0,0,6.52,5.67,0,0,0,0,0,16.32,0,0,0,7.51
 72-82,0,0,0,0,3.49,1.32,0,58.12,3.82,0,75.02,4.69,0,0,4.9,0,0,358.06,0.68,0,6.37,1634.52,0,3.92,60.44,53.09,0,0,0.99,6.73,1.15,0,0,6.29,0,11.19,2.78,0,9.31,1.15
 84-94,0,0,0,0,5.84,0,0,90.32,0,2.13,72.32,6.45,0.73,0,12.97,2.69,0,453.57,4.09,1.81,0,1359.64,0,17.16,46.43,75.85,0,0,0,16.11,1.1,0,0,0,0,0.73,0.98,0,5.44,0
 96-106,0,0,0,0,5.92,1.01,0,41.21,0,1.28,59.04,1.86,1.5,0,16.33,0.65,0,588.38,0,2.1,0,1279.59,0,3.28,32.17,93.51,1.28,0,2.01,11.3,3.77,0,4.35,0,0,0,1.15,2.92,3.22,0
108-118,0,0,0.75,0,3.36,1.05,2.51,33.5,0,1.24,42.95,10.01,0,0,5.82,0.61,0,890.43,0,0,0,1229.13,0,1.78,20.26,63.5,0,0,0,18.3,8,0,0,0,0,3.19,0,0,3.38,3.74
120,0,0,0,0,2.11,6.31,0,35.86,0,1.87,65.37,4.25,0,0,11.22,0,0,520.14,0,4.16,0,1015.48,0,8.48,24.14,64.9,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0
