stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.65,170.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0
  5-6,41.17,233.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.92,0,3.51,0,0,0,0,0,0,0,0,0,14.23,0,0,0,0,0,0,0,0,37.46,0,0,0,19.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41,43.88,0,0,0,0,0,9.38,0,0,0,0
 24-34,0,0,0,0,0,0,0,7.64,0,0,0,0.73,0,0,0,0,0,0,5.35,0,0,0.61,87.79,76.34,0,0,0,0.74,1.14,7.98,0,0,0,0
 36-46,0,0,0,0,0,0,0,14.68,0,0,0,0.96,0,0,0,0,0,0,5.77,0,0,0,64.55,143.95,0.88,0,0,0,0,7.8,0,0,0.76,0
 48-58,4.62,0,0,0,0,0,0,30.96,0,0,0,1.99,0,0,0,0,0,0,4.6,0,0.38,0,42.13,342.21,0,4.4,0,0.41,0,5.73,0,0,0,0
 60-70,0,0,0,0,0,0,0,64.42,0,0,0,3.96,0,0,0,0,0,0,31.5,0,0,0.63,36.48,553.95,0,0,0,0.63,0,1.33,0,0,0,0
 72-82,0,0,0,0,0,0.5,0,29.86,0,0,0,5.02,0.66,4.93,0,1.13,0,0,137,0,0,0,46.02,625.22,0.88,0,0,1.15,0,4.07,0,1.36,0,0
 84-94,0,0,0,0,1.2,0,0,24.69,0,1.81,0,0,0.74,0,0,0.91,0,0,86.2,0,0,0,29.55,1092.23,0,0,0,2.91,0,3.69,0,0.92,0.56,0.81
 96-106,4.93,0,2.03,0,9.41,22.66,0,39.38,0.98,0.71,0,16.65,0.86,0,3.3,1.79,0.85,0,123.07,5.92,0,0,29.56,1676.38,0,0,0,29.7,0,1.12,1.02,5.02,6.86,1.88
108-118,7.27,0,0,0,3.65,5.75,1.01,72.38,0,0.75,4.97,16.95,2.64,0,3.91,0.42,0,0.67,163.26,0,0,0.78,97.31,2150.39,4.64,0.77,0,8.03,0,4.87,0,2.04,3.21,0.44
120,11.03,0,0,0,10.37,0,0,122.63,0,0,1.85,42.59,4.27,15.61,0,12.38,0,0,92.73,0,0,4.15,126.62,2965.63,0,0,0,2.6,0,2.78,0,0,0,0
