stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,periderm,pronephros,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.89,0,0,0,0,0
 24-34,0,0.71,0,0,0,0,0,0,0,1.01,0,0,5.54,1.38,0,0,0.77,6.61,0,85.56,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,2.16,0,0,2,0,71.23,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.45,0,0.45,0,0,0,0,14.21,0,0,0,4.27,0,51.34,0,0,0,0,2.86
 60-70,0,0,0,5.6,0,0,0,0,0.68,0,1.16,0,9.05,0.7,0,0,0,0,0,47.25,0,0,0,0,0
 72-82,0,0,0,7.46,0,0,0.94,0.93,26.93,0,0,0,0,0,4.14,0,0,5.78,0,73.17,0,0.89,0,1.28,0
 84-94,0,0,0,0,0,0.71,0,0,51.2,0,0,0,0,0.67,4.52,0,0,3.49,0,148.04,0,0,0,0,0
 96-106,0,0.58,1.72,7.72,0.68,0,0,4.2,66.71,0,0,0,4.93,0,9.86,0,0,8.6,4.03,151.01,0,0,0,0,1.24
108-118,2.05,0,1.64,7.03,0,0,1.5,4.95,89.65,0,0.43,1.77,0,0,12.8,1.34,0,10.73,0,139.39,1.66,0,0.84,0,0
120,0,0,0,0,0,1.93,0,0,85.31,0,0,0,4.74,0,7.99,0,0,21.6,0,72.81,0,0,0,0,0
