stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.89,1.09,14.45,266.29,28.9,0,35.07,0,1,0,3.04,3.1,28.65,0,0,8.2,0,0.84,0,0,23.24,0,0,17.92,410.91,1.97,4.92,19.03,19.85,17.47,0.9,65.32,2.95,1.2,42.83,74.44,0,0,0,0,0
 24-34,0,0.75,0,15.16,0.62,0,12.54,0,0,0,4.15,3.61,1.14,0,0,3.68,0,0,2.06,0,15.04,1.54,0,7.11,102.83,0.64,2.69,2.9,0,15.48,0,0,0.84,3.72,3.31,13.99,0,0,1.41,0,1.8
 36-46,0,0,0,19.83,1.13,0,9.48,1.88,5.87,0,2.45,0.83,2.19,0,0,2.15,0,0,0,0,10.32,1.68,0.74,3.47,90.57,0,6.38,1.63,0,24.16,0,0,0,0,0,13.6,0,0,0,0,0
 48-58,0,0,0,16.75,0,0,23,0,5.85,0,14.74,0,0,0,0,0.39,0.98,0.91,0,5.91,6,0,0,6.61,35.56,0,0.97,4.53,0,5.53,0,0,0.61,0,0,2.71,0,0,5.4,0,0
 60-70,0,0,0,21.04,0,0,21.04,0,0,4.87,9.68,0,2.2,0,1.37,0,3.63,3.34,0,6.48,3.98,0,6.12,2.29,32.4,0,1.86,0,0,21.39,0,0,0,0,0,1.17,0,0,0,0,0
 72-82,0,0,0,16.83,2.3,0,21.83,0,1.08,1.69,18.26,3.99,0,0,0,4.04,15.44,0.68,0,5.12,25.53,2.09,0,3.54,42.13,0,2.06,0.5,0,14.26,0,0,0.5,0,0,6.9,0,0,4.56,1.37,3.07
 84-94,0,0,0,32.51,1.27,0.78,16.31,0,3.33,0.81,22.41,1.49,0.64,0.78,0.64,7.78,1.62,0.73,0.6,0.56,10.37,2.13,1.87,3.62,25.06,0,7.55,6.05,0,36.84,0,0,3.73,0,0,7.52,2,0,0,0,15.16
 96-106,0,0,0,36.58,3.62,0,16.95,0,3.23,1.81,27.88,2.32,0,0,3.97,3.83,25.54,0.63,0,8.02,15.12,1.09,0,1.79,23.69,0,8.79,7.55,0,56.12,0,0,0.7,0,0,0,0,1.17,0,0,0
108-118,0,0.57,0,124.53,0.88,1.64,29.48,0,17.37,1.64,37.42,5.31,0,5.16,7.03,10.3,96.33,1.32,0,7.37,45.39,3.79,0,2.74,36.51,0.51,4.52,10.19,0,84.65,0,0,2.12,0.41,0,0.55,2.14,1.11,6.79,0.72,6.02
120,0,0,0,89.17,8.06,0,8.58,0,17.37,3.22,9.82,1.87,0,0,9.31,6.84,40.22,1.84,5.59,3.89,25.86,2.21,0,2.44,50.35,0,0,0,0,46.52,0,0,0,0,0,0,0,0,0,0,0
