stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,6.3,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.98,0,0,4.54,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.15,0,0,11.58,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0
 36-46,0,0,0,1.23,0,0,0,4.21,0,0,0,0.74,0,0,0,1.33
 48-58,0,0,0,2.69,0.55,0.59,0,0,0,7.43,0.71,0,0,1.94,0,0.57
 60-70,0,0,0,1.85,0,0,0,0,0.57,2.71,0,0,0,1.27,0,0
 72-82,0,0,0,0,0,0,0,0,0,15.18,0,0,0,0.99,0,0
 84-94,0,0,0.56,7.81,0,0,0,0,0,0,0,0,0,6.36,0,0
 96-106,0,0,0,0,0,0,0.56,0,0,0,0,0,0,1.74,0,0
108-118,0,0,0.94,0,0.79,0,0,0,0,0.81,0,0,0,3.51,0,0
120,0,0,0,0,3.08,0,0,0,0,0,0,0,0,3.81,0,0
