stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord
  5-6,29.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.83,0
 14-21,0,1.35,0,0,0,0,0,0.87,11.71,0,0,0
 24-34,0,0,0.76,0,0,0,0.69,0,28.18,0,0,1.6
 36-46,0,0,0,0.85,0,0,0,0,4.3,0,0,0
 48-58,0,0,0,0.87,0,0,0,0,2.93,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.15,1.52,0,0
 72-82,0,0.67,2.94,1.05,0,0,0,0,4.96,0,0,0
 84-94,0,0,0,0,0,0,0,0.55,0,0,0,0
 96-106,0,0.57,0,0,0.69,0,0,0,7.01,0,0,0
108-118,0,0,0,0,0,1.11,0,1.86,0,0,0,0
120,0,0,0,8.94,0,5.08,0,0,0,0,0,0
